zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94040,191 E El Camino Real #137,2,3,Mountain View,"1,120 sqft",31-Dec-69,$0 ,37.376835,-122.07045,CA,Condo,159000,,,Martens-Carmelita,57,38,For Sale,SANTA CLARA
94043,264 N Whisman Rd #17,1,2,Mountain View,"1,087 sqft",31-Dec-69,$0 ,37.39622,-122.06021,CA,Condo,549000,,,Whisman Station,49,42,For Sale,SANTA CLARA
94040,1112 Blackfield Way,3,4,Mountain View,"1,808 sqft",31-Dec-69,$0 ,37.390266,-122.0993,CA,Single-Family Home,1250000,,,,52,41,For Sale,SANTA CLARA
94043,369 Pacific Dr,3,2,Mountain View,"1,173 sqft",31-Dec-69,$0 ,37.392673,-122.05925,CA,Condo,768000,,,Whisman Station,52,42,For Sale,SANTA CLARA
94040,119 Pacchetti Way,3,3,Mountain View,"1,292 sqft",31-Dec-69,$0 ,37.4062,-122.1071,CA,Condo,849888,,,The Crossings,65,49,For Sale,SANTA CLARA
94040,183 Del Medio Ave #212,1,1,Mountain View,756 sqft,31-Dec-69,$0 ,37.408154,-122.11204,CA,Condo,424950,,,,68,48,For Sale,SANTA CLARA
94043,257 Farley St,2,3,Mountain View,"1,060 sqft",31-Dec-69,$0 ,37.402073,-122.08979,CA,Single-Family Home,999000,,,Rex Manor,49,41,For Sale,SANTA CLARA
94040,905 Camille Ln,3.5,3,Mountain View,"2,022 sqft",31-Dec-69,$0 ,37.38314,-122.08032,CA,Townhome,1198000,,,Cuesta Park,65,44,For Sale,SANTA CLARA
94041,587 Chiquita Ave,2,2,Mountain View,"1,260 sqft",31-Dec-69,$0 ,37.39305,-122.09221,CA,Single-Family Home,1059000,,,Shoreline West,75,43,For Sale,SANTA CLARA
94040,205 Marianne Ct,3,5,Mountain View,"3,322 sqft",31-Dec-69,$0 ,37.3767,-122.07392,CA,Single-Family Home,1938000,,,Martens-Carmelita,55,40,For Sale,SANTA CLARA
94043,100 E Middlefield Rd #5A,2,2,Mountain View,"1,052 sqft",31-Dec-69,$0 ,37.399414,-122.063774,CA,Condo,650000,,,North Whisman,48,41,For Sale,SANTA CLARA
94041,115 W Dana St,2.5,3,Mountain View,"1,787 sqft",31-Dec-69,$0 ,37.387806,-122.0711,CA,Single-Family Home,899900,,,Old Mountain View,65,51,For Sale,SANTA CLARA
94043,1905 Old Middlefield Way,,,Mountain View,"5,800 sqft",31-Dec-69,$0 ,37.413647,-122.08726,CA,Income/Investment,2298000,,,,88,30,For Sale,SANTA CLARA
94043,725 Emily Dr,1,3,Mountain View,816 sqft,31-Dec-69,$0 ,37.403786,-122.06667,CA,Single-Family Home,685000,,,North Whisman,46,32,For Sale,SANTA CLARA
94040,1943 Mount Vernon Ct #207,2,2,Mountain View,"1,208 sqft",31-Dec-69,$0 ,37.396603,-122.09702,CA,Condo,575000,,,,57,43,For Sale,SANTA CLARA
94040,1110 Blue Lake Sq,3,4,Mountain View,"2,285 sqft",31-Dec-69,$0 ,37.35798,-122.07005,CA,Single-Family Home,1588888,,,,23,26,For Sale,SANTA CLARA
94041,441 Yosemite Ave,1,3,Mountain View,"1,192 sqft",31-Dec-69,$0 ,37.3849,-122.07927,CA,Single-Family Home,965000,,,Old Mountain View,66,51,For Sale,SANTA CLARA
94040,260 Carmelita Dr,7,3,Mountain View,"1,829 sqft",31-Dec-69,$0 ,37.376423,-122.07317,CA,Single-Family Home,1648000,,,Martens-Carmelita,58,40,For Sale,SANTA CLARA
94043,532 Tyrella Ave #32,2,3,Mountain View,"1,128 sqft",31-Dec-69,$0 ,37.40449,-122.06422,CA,Apt/Condo/Twnhm,649888,,,North Whisman,45,35,For Sale,SANTA CLARA
94040,Residence 3 - Attached Plan,3.5,4,Mountain View,"2,047 sqft",31-Dec-69,$0 ,37.38801,-122.0925,CA,Single-Family Home,990900,,,,77,44,For Sale,SANTA CLARA
94040,Residence 1 - Attached Plan,3.5,3,Mountain View,"1,876 sqft",31-Dec-69,$0 ,37.38801,-122.0925,CA,Single-Family Home,990900,,,,77,44,For Sale,SANTA CLARA
94040,Residence 2 - Detached Plan,3.5,3,Mountain View,"1,903 sqft",31-Dec-69,$0 ,37.38801,-122.0925,CA,Single-Family Home,1136900,,,,77,44,For Sale,SANTA CLARA
94040,Residence 1 - Detached Plan,3.5,3,Mountain View,"1,916 sqft",31-Dec-69,$0 ,37.38801,-122.0925,CA,Single-Family Home,1136900,,,,77,44,For Sale,SANTA CLARA
94040,Residence 3 - Detached Plan,3.5,4,Mountain View,"2,017 sqft",31-Dec-69,$0 ,37.38801,-122.0925,CA,Single-Family Home,1136900,,,,77,44,For Sale,SANTA CLARA
94040,Residence 2 - Attached Plan,3.5,4,Mountain View,"1,894 sqft",31-Dec-69,$0 ,37.38801,-122.0925,CA,Single-Family Home,990900,,,,77,44,For Sale,SANTA CLARA
94041,The Edison Plan,2.5,3,Mountain View,"1,780 sqft",31-Dec-69,$0 ,37.39196,-122.07168,CA,Single-Family Home,1399900,,,Old Mountain View,72,50,For Sale,SANTA CLARA
