zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94044,1323 Poplar Ave,3,5,Pacifica,"1,650 sqft",20-Feb-14,"$660,000 ",37.58998,-122.47764,CA,Single-Family Home,660000,"$783,000 ",,,,,Sold,SAN MATEO
94044,631 Sharp Park Rd,2.5,3,Pacifica,"1,380 sqft",20-Feb-14,"$603,500 ",37.63464,-122.47383,CA,Single-Family Home,603500,"$713,000 ",,,,,Sold,SAN MATEO
94044,295 Pinehaven Way,2,3,Pacifica,"1,080 sqft",18-Feb-14,"$675,000 ",37.62038,-122.48642,CA,Single-Family Home,675000,"$779,000 ",,,,,Sold,SAN MATEO
94044,232 Moana Pl,1,2,Pacifica,830 sqft,14-Feb-14,"$560,000 ",37.63112,-122.48863,CA,Single-Family Home,560000,"$571,000 ",,,,,Sold,SAN MATEO
94044,32 Driftwood Cir,2,3,Pacifica,"1,720 sqft",13-Feb-14,"$739,500 ",37.59987,-122.48638,CA,Single-Family Home,739500,"$1,036,000 ",,,,,Sold,SAN MATEO
94044,1179 Grand Teton Dr,2,3,Pacifica,"1,490 sqft",12-Feb-14,"$550,000 ",37.592194,-122.468956,CA,Single-Family Home,550000,"$778,000 ",,,,,Sold,SAN MATEO
94044,883 Linda Mar Blvd,1,3,Pacifica,"1,040 sqft",11-Feb-14,"$570,000 ",37.59038,-122.49464,CA,Single-Family Home,570000,"$681,000 ",,,,,Sold,SAN MATEO
94044,208 Beaumont Blvd,,,Pacifica,,7-Feb-14,"$1,250,000 ",37.6559,-122.49,CA,Single-Family Home,1250000,"$384,000 ",,,,,Sold,SAN MATEO
94044,401 Moana Way,1,2,Pacifica,750 sqft,7-Feb-14,"$570,000 ",37.631546,-122.48579,CA,Single-Family Home,570000,"$567,000 ",,,,,Sold,SAN MATEO
94044,386 Coral Ridge Dr,2.5,4,Pacifica,"1,990 sqft",31-Jan-14,"$720,000 ",37.656937,-122.487465,CA,Single-Family Home,720000,"$911,000 ",,,,,Sold,SAN MATEO
94044,236 Edgewood Dr,2,4,Pacifica,"1,560 sqft",31-Jan-14,"$740,000 ",37.662525,-122.48252,CA,Single-Family Home,740000,"$886,000 ",,,,,Sold,SAN MATEO
94044,224 Catalina Ave,2,3,Pacifica,"1,060 sqft",31-Jan-14,"$535,000 ",37.656116,-122.48194,CA,Single-Family Home,535000,"$747,000 ",,,,,Sold,SAN MATEO
94044,1287 Alicante Dr,2,4,Pacifica,"1,080 sqft",31-Jan-14,"$585,000 ",37.58369,-122.484566,CA,Single-Family Home,585000,"$687,000 ",,,,,Sold,SAN MATEO
94044,1356 Solano Dr,1,3,Pacifica,"1,040 sqft",31-Jan-14,"$580,000 ",37.58461,-122.48958,CA,Single-Family Home,580000,"$674,000 ",,,,,Sold,SAN MATEO
94044,1172 Terra Nova Blvd,2,2,Pacifica,"1,400 sqft",31-Jan-14,"$419,000 ",37.586254,-122.476555,CA,Single-Family Home,419000,"$574,000 ",,,,,Sold,SAN MATEO
94044,185 Verona Ave,2,3,Pacifica,"1,160 sqft",30-Jan-14,"$200,000 ",37.613674,-122.48097,CA,Single-Family Home,200000,"$684,000 ",,,,,Sold,SAN MATEO
