zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94566,3200 Denton Ct,,,Pleasanton,,4-Mar-14,"$882,500 ",37.679382,-121.858665,CA,Lot/Land,882500,,,,,,Sold,ALAMEDA
94566,4105 Morganfield Ct,2.5,4,Pleasanton,"1,802 sqft",4-Mar-14,"$885,000 ",37.680965,-121.87043,CA,Single-Family Home,885000,"$910,000 ",,,,,Sold,ALAMEDA
94588,3303 Rosada Ct,2,2,Pleasanton,"1,302 sqft",4-Mar-14,"$486,000 ",37.68792,-121.88508,CA,Townhouse,486000,"$572,000 ",,,,,Sold,ALAMEDA
94588,3660 Kirkcaldy Ct,2.5,4,Pleasanton,"2,126 sqft",4-Mar-14,"$805,000 ",37.700603,-121.86227,CA,Single-Family Home,805000,"$924,000 ",,,,,Sold,ALAMEDA
94566,1969 Paseo Del Cajon,3,4,Pleasanton,"2,220 sqft",4-Mar-14,"$935,000 ",37.66826,-121.88912,CA,Single-Family Home,935000,"$1,016,000 ",,,,,Sold,ALAMEDA
94588,5262 Riverdale Ct,2,3,Pleasanton,"1,525 sqft",4-Mar-14,"$565,000 ",37.689114,-121.92118,CA,Townhouse,565000,"$616,000 ",,,,,Sold,ALAMEDA
94566,717 Bonita Ave,3,3,Pleasanton,"2,220 sqft",4-Mar-14,"$908,000 ",37.656635,-121.8644,CA,Single-Family Home,908000,"$1,025,000 ",,,,,Sold,ALAMEDA
94588,2255 Segundo Ct,1,2,Pleasanton,903 sqft,3-Mar-14,"$265,000 ",37.650246,-121.90387,CA,Condo,265000,"$338,000 ",,,,,Sold,ALAMEDA
94566,4051 Vineyard Ave,1,2,Pleasanton,987 sqft,28-Feb-14,"$520,000 ",37.66332,-121.867165,CA,Single-Family Home,520000,"$606,000 ",,,,,Sold,ALAMEDA
94566,897 Sunset Creek Ln,4,5,Pleasanton,"3,246 sqft",28-Feb-14,"$1,540,000 ",37.644276,-121.87247,CA,Single-Family Home,1540000,"$1,588,000 ",,,,,Sold,ALAMEDA
94588,7301 Joshua Cir,3,3,Pleasanton,"1,499 sqft",28-Feb-14,"$681,000 ",37.67316,-121.913284,CA,Single-Family Home,681000,"$880,000 ",,,,,Sold,ALAMEDA
