zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94062,25 Southgate St,6,3,Redwood City,"1,420 sqft",31-Dec-69,$0 ,37.477383,-122.24683,CA,Single-Family Home,998000,,,Oak Knoll - Redwood Park,40,,For Sale,SAN MATEO
94061,2651 Briarfield Ave,2,3,Redwood City,"1,767 sqft",31-Dec-69,$0 ,37.46223,-122.24361,CA,Single-Family Home,1199000,,,Roosevelt,60,,For Sale,SAN MATEO
94063,1049 16th Ave,2,3,Redwood City,"1,810 sqft",31-Dec-69,$0 ,37.48333,-122.18726,CA,Single-Family Home,789000,,,Friendly Acres,42,,For Sale,SAN MATEO
94062,143 Oakdale St,4,4,Redwood City,"3,050 sqft",31-Dec-69,$0 ,37.48912,-122.245026,CA,Single-Family Home,1795000,,,Oak Knoll - Redwood Park,62,,For Sale,SAN MATEO
94062,25 Colton Ct,7,6,Redwood City,"6,315 sqft",31-Dec-69,$0 ,37.459435,-122.27609,CA,Single-Family Home,3098000,,,Farm Hill,8,,For Sale,SAN MATEO
94062,30 Palomar Oaks Ln,6,5,Redwood City,"3,970 sqft",31-Dec-69,$0 ,37.476837,-122.263374,CA,Single-Family Home,2550000,,,,37,,For Sale,SAN MATEO
94065,2111 Hastings Shore Ln,2,2,Redwood City,"1,048 sqft",31-Dec-69,$0 ,37.524273,-122.25145,CA,Condo,600000,,,Redwood Shores,62,,For Sale,SAN MATEO
94063,525 Hurlingame Ave,1,3,Redwood City,"1,020 sqft",31-Dec-69,$0 ,37.478436,-122.21063,CA,Single-Family Home,539000,,,,83,,For Sale,SAN MATEO
94061,1181 Fernside St,2,3,Redwood City,"1,310 sqft",31-Dec-69,$0 ,37.460693,-122.24619,CA,Single-Family Home,899000,,,Farm Hill,57,,For Sale,SAN MATEO
94065,3065 Whisperwave Cir,3,4,Redwood City,"2,003 sqft",31-Dec-69,$0 ,37.5471,-122.24037,CA,Single-Family Home,1295000,,,Redwood Shores,23,,For Sale,SAN MATEO
94061,1140 Truman St,2,3,Redwood City,"1,800 sqft",31-Dec-69,$0 ,37.464664,-122.24046,CA,Single-Family Home,1195000,,,Woodside Plaza,66,,For Sale,SAN MATEO
94063,2824 Devonshire Ave,,,Redwood City,"3,315 sqft",31-Dec-69,$0 ,37.47189,-122.21163,CA,Multi-Family Home,998888,,,,75,,For Sale,SAN MATEO
94065,423 Compass Dr,3,5,Redwood City,"2,392 sqft",31-Dec-69,$0 ,37.5291,-122.253204,CA,Single-Family Home,1599995,,,Redwood Shores,54,,For Sale,SAN MATEO
94062,370 Upland Rd,5,7,Redwood City,"4,360 sqft",31-Dec-69,$0 ,37.477497,-122.25528,CA,Single-Family Home,2295000,,,Oak Knoll - Redwood Park,45,,For Sale,SAN MATEO
94061,1161 Hudson St,,,Redwood City,"3,180 sqft",31-Dec-69,$0 ,37.473267,-122.230934,CA,Multi-Family Home,850000,,,Roosevelt,65,,For Sale,SAN MATEO
