zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94066,180 Madison Ave,2,3,San Bruno,"1,360 sqft",20-Feb-14,"$910,000 ",37.612286,-122.43022,CA,Single-Family Home,910000,"$804,000 ",,,,,Sold,SAN MATEO
94066,300 Acacia Ave,2.5,4,San Bruno,"1,935 sqft",20-Feb-14,"$770,000 ",37.618534,-122.41331,CA,Single-Family Home,770000,"$917,000 ",,,,,Sold,SAN MATEO
94066,1146 Glenview Dr,2,3,San Bruno,"1,390 sqft",13-Feb-14,"$860,000 ",37.624474,-122.44198,CA,Single-Family Home,860000,"$924,000 ",,,,,Sold,SAN MATEO
94066,405 Cypress Ave,2.5,4,San Bruno,"2,280 sqft",12-Feb-14,"$799,000 ",37.619656,-122.41559,CA,Single-Family Home,799000,"$1,020,000 ",,,,,Sold,SAN MATEO
94066,279 Elm Ave,1,2,San Bruno,800 sqft,12-Feb-14,"$500,000 ",37.61806,-122.412384,CA,Single-Family Home,500000,"$632,000 ",,,,,Sold,SAN MATEO
94066,832 4th Ave,1,2,San Bruno,950 sqft,10-Feb-14,"$518,000 ",37.631577,-122.408295,CA,Single-Family Home,518000,"$540,000 ",,,,,Sold,SAN MATEO
94066,1291 Claremont Dr,2,3,San Bruno,"1,350 sqft",7-Feb-14,"$870,000 ",37.624523,-122.4406,CA,Single-Family Home,870000,"$889,000 ",,,,,Sold,SAN MATEO
94066,102 Quail Point Cir,2,3,San Bruno,"1,610 sqft",4-Feb-14,"$679,000 ",37.627975,-122.4389,CA,Single-Family Home,679000,"$794,000 ",,,,,Sold,SAN MATEO
94066,111 Castleton Way,2,3,San Bruno,"1,300 sqft",31-Jan-14,"$785,000 ",37.62857,-122.4574,CA,Single-Family Home,785000,"$742,000 ",,,,,Sold,SAN MATEO
94066,4256 Shelter Creek Ln,1,1,San Bruno,680 sqft,31-Jan-14,"$300,000 ",37.619843,-122.42837,CA,Condo,300000,"$349,000 ",,,,,Sold,SAN MATEO
94066,8349 Shelter Creek Ln,1,1,San Bruno,680 sqft,31-Jan-14,"$312,000 ",37.623222,-122.42897,CA,Condo,312000,"$379,000 ",,,,,Sold,SAN MATEO
94066,133 San Juan Ave,1,3,San Bruno,"1,470 sqft",30-Jan-14,"$588,000 ",37.611416,-122.401215,CA,Single-Family Home,588000,"$766,000 ",,,,,Sold,SAN MATEO
94066,5257 Shelter Creek Ln,1,,San Bruno,490 sqft,29-Jan-14,"$215,000 ",37.619843,-122.42837,CA,Condo,215000,"$254,000 ",,,,,Sold,SAN MATEO
94066,475 Chestnut Ave,1.5,4,San Bruno,"2,190 sqft",27-Jan-14,"$870,000 ",37.61902,-122.419106,CA,Single-Family Home,870000,"$968,000 ",,,,,Sold,SAN MATEO
94066,1204 Clark Ave,1.5,3,San Bruno,"1,500 sqft",24-Jan-14,"$730,000 ",37.619316,-122.416336,CA,Single-Family Home,730000,"$853,000 ",,,,,Sold,SAN MATEO
94066,3135 Shelter Creek Ln,1,,San Bruno,490 sqft,24-Jan-14,"$236,000 ",37.619843,-122.42837,CA,Condo,236000,"$252,000 ",,,,,Sold,SAN MATEO
94066,4338 Shelter Creek Ln,1,1,San Bruno,680 sqft,24-Jan-14,"$310,000 ",37.619843,-122.42837,CA,Condo,310000,"$346,000 ",,,,,Sold,SAN MATEO
94066,2060 Spyglass Dr,2,3,San Bruno,"1,880 sqft",22-Jan-14,"$675,000 ",37.636917,-122.468925,CA,Single-Family Home,675000,"$870,000 ",,,,,Sold,SAN MATEO
94066,564 Cypress Ave,1,3,San Bruno,"1,260 sqft",21-Jan-14,"$725,000 ",37.623528,-122.41822,CA,Single-Family Home,725000,"$787,000 ",,,,,Sold,SAN MATEO
94066,7117 Shelter Creek Ln,2,2,San Bruno,"1,030 sqft",21-Jan-14,"$433,000 ",37.62272,-122.42827,CA,Condo,433000,"$464,000 ",,,,,Sold,SAN MATEO
94066,172 San Marco Ave,1,2,San Bruno,750 sqft,17-Jan-14,"$540,000 ",37.6169,-122.40562,CA,Single-Family Home,540000,"$566,000 ",,,,,Sold,SAN MATEO
94066,431 Taylor Ave,2,3,San Bruno,"1,050 sqft",17-Jan-14,"$550,000 ",37.621418,-122.409805,CA,Single-Family Home,550000,"$631,000 ",,,,,Sold,SAN MATEO
94066,4353 Shelter Creek Ln,1,1,San Bruno,680 sqft,17-Jan-14,"$300,000 ",37.619843,-122.42837,CA,Condo,300000,"$375,000 ",,,,,Sold,SAN MATEO
