zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94070,3025 Brittan Ave,3,3,San Carlos,"2,020 sqft",31-Dec-69,$0 ,37.48592,-122.27615,CA,Single-Family Home,1248000,,,,15,,For Sale,SAN MATEO
94070,3350 La Mesa Dr #15,2,2,San Carlos,"1,040 sqft",31-Dec-69,$0 ,37.479496,-122.284256,CA,Condo,610000,,,,12,,For Sale,SAN MATEO
94070,115 Sheldon Ave,2,3,San Carlos,"1,270 sqft",31-Dec-69,$0 ,37.507153,-122.27829,CA,Single-Family Home,949000,,,,49,,For Sale,SAN MATEO
94070,231 Oakview Dr,2,4,San Carlos,"2,390 sqft",31-Dec-69,$0 ,37.49022,-122.25989,CA,Single-Family Home,1299000,,,,28,,For Sale,SAN MATEO
94070,27 Madera Ave,5,4,San Carlos,"5,385 sqft",31-Dec-69,$0 ,37.498745,-122.2699,CA,Single-Family Home,2298000,,,,54,,For Sale,SAN MATEO
94070,2444 Melendy Dr,3,3,San Carlos,"2,390 sqft",31-Dec-69,$0 ,37.493477,-122.27013,CA,Single-Family Home,1399000,,,,35,,For Sale,SAN MATEO
94070,775 Chestnut St #14,1,1,San Carlos,903 sqft,31-Dec-69,$0 ,37.502384,-122.26102,CA,Condo,491000,,,,98,,For Sale,SAN MATEO
94070,41 Walton St,2,3,San Carlos,"1,650 sqft",31-Dec-69,$0 ,37.51065,-122.27066,CA,Single-Family Home,1298000,,,,74,,For Sale,SAN MATEO
94070,Devonshire Blvd,,,San Carlos,,31-Dec-69,$0 ,37.501385,-122.276624,CA,Lot/Land,495000,,,,,,For Sale,SAN MATEO
94070,1263 Holly St #B,,,San Carlos,,31-Dec-69,$0 ,37.507294,-122.26313,CA,Condo,729000,,,,92,,For Sale,SAN MATEO
94070,3350 Brittan Ave #7,2,3,San Carlos,"1,239 sqft",31-Dec-69,$0 ,37.483284,-122.28713,CA,Apt/Condo/Twnhm,604900,,,,9,,For Sale,SAN MATEO
94070,109 Wildwood Ave,2,4,San Carlos,"1,850 sqft",31-Dec-69,$0 ,37.490433,-122.261475,CA,Single-Family Home,1550000,,,,32,,For Sale,SAN MATEO
94070,7 Mayflower Ln,2.5,3,San Carlos,"2,100 sqft",31-Dec-69,$0 ,37.496895,-122.29436,CA,Townhome,1099000,,,,8,,For Sale,SAN MATEO
94070,3378 Brittan Ave #3,2,2,San Carlos,"1,040 sqft",31-Dec-69,$0 ,37.483284,-122.28713,CA,Condo,639000,,,,11,,For Sale,SAN MATEO
