zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94121,611 39th Ave,1,3,San Francisco,,31-Dec-69,$0 ,37.777187,-122.49982,CA,Single-Family Home,698000,,,Outer Richmond,91,70,For Sale,SAN FRANCISCO
94110,2729 Bryant St,3,8,San Francisco,,31-Dec-69,$0 ,37.75071,-122.408615,CA,Multi-Family Home,1395000,,,Potrero Hill,92,80,For Sale,SAN FRANCISCO
94122,1606 35th Ave,2,2,San Francisco,"1,725 sqft",31-Dec-69,$0 ,37.75702,-122.49358,CA,Single-Family Home,795000,,,Central Sunset,78,60,For Sale,SAN FRANCISCO
94108,1260 Clay St #207,1,1,San Francisco,575 sqft,31-Dec-69,$0 ,37.79357,-122.41368,CA,Apt/Condo/Twnhm,519000,,,Nob Hill,95,100,For Sale,SAN FRANCISCO
94117,169 Beulah St,3,5,San Francisco,,31-Dec-69,$0 ,37.767117,-122.45257,CA,Single-Family Home,2495000,,,Cole Valley,94,69,For Sale,SAN FRANCISCO
94110,2546 Folsom St,2.75,3,San Francisco,,31-Dec-69,$0 ,37.75651,-122.414825,CA,Apt/Condo/Twnhm,829000,,,Mission,94,85,For Sale,SAN FRANCISCO
94109,1800 Washington St #414,1,1,San Francisco,476 sqft,31-Dec-69,$0 ,37.79343,-122.42343,CA,Condo,499000,,,Pacific Heights,98,91,For Sale,SAN FRANCISCO
94123,2831 Webster St #4,2.5,3,San Francisco,,31-Dec-69,$0 ,37.796757,-122.434044,CA,Apartment,1099000,,,Cow Hollow,94,83,For Sale,SAN FRANCISCO
94115,2299 Sacramento St #18,1,2,San Francisco,"1,252 sqft",31-Dec-69,$0 ,37.79001,-122.43048,CA,Apt/Condo/Twnhm,925000,,,Pacific Heights,98,83,For Sale,SAN FRANCISCO
94105,355 1st St #1502,2,2,San Francisco,"1,166 sqft",31-Dec-69,$0 ,37.78703,-122.39364,CA,Apt/Condo/Twnhm,1375000,,,South Beach,88,100,For Sale,SAN FRANCISCO
94118,3284 Jackson St,3,4,San Francisco,"3,100 sqft",31-Dec-69,$0 ,37.79092,-122.44889,CA,Single-Family Home,2295000,,,Presidio Heights,89,78,For Sale,SAN FRANCISCO
94109,1615 Jones St #3,1,,San Francisco,342 sqft,31-Dec-69,$0 ,37.79611,-122.41528,CA,Condo,385000,,,Nob Hill,94,100,For Sale,SAN FRANCISCO
94131,1515 Noe St,3,4,San Francisco,"1,836 sqft",31-Dec-69,$0 ,37.74478,-122.43095,CA,Single-Family Home,1288000,,,Noe Valley,85,80,For Sale,SAN FRANCISCO
94131,970 Duncan St #F204,2,2,San Francisco,"1,175 sqft",31-Dec-69,$0 ,37.74538,-122.44203,CA,Condo,649000,,,Diamond Heights,65,60,For Sale,SAN FRANCISCO
94112,315 Santa Rosa Ave #2,2,3,San Francisco,"1,539 sqft",31-Dec-69,$0 ,37.728874,-122.44034,CA,Apt/Condo/Twnhm,635000,,,Mission Terrace,72,89,For Sale,SAN FRANCISCO
94158,255 Berry St #114,2.5,3,San Francisco,,31-Dec-69,$0 ,37.774185,-122.394745,CA,Condo,1695000,,,Mission Bay,86,93,For Sale,SAN FRANCISCO
94127,265 Kensington Way,2,4,San Francisco,"2,800 sqft",31-Dec-69,$0 ,37.7427,-122.46191,CA,Single-Family Home,1199000,,,West Portal,80,78,For Sale,SAN FRANCISCO
94112,291 Justin Dr,2,3,San Francisco,,31-Dec-69,$0 ,37.73225,-122.42189,CA,Single-Family Home,899000,,,Bernal Heights,66,78,For Sale,SAN FRANCISCO
94133,460 Francisco St #303,1,1,San Francisco,,31-Dec-69,$0 ,37.80494,-122.41282,CA,Condo,650000,,,Fisherman's Wharf,95,88,For Sale,SAN FRANCISCO
94131,216 Roanoke St,1,1,San Francisco,695 sqft,31-Dec-69,$0 ,37.735233,-122.430275,CA,Condo,429000,,,Glen Park,85,85,For Sale,SAN FRANCISCO
94122,1295 48th Ave,1,2,San Francisco,978 sqft,31-Dec-69,$0 ,37.762394,-122.508385,CA,Apt/Condo/Twnhm,579000,,,Outer Sunset,71,58,For Sale,SAN FRANCISCO
