zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94107,88 King St #1322,2,3,San Francisco,"1,369 sqft",28-Feb-14,"$1,800,000 ",37.78063,-122.389626,CA,Condo,1800000,"$2,078,000 ",,South Beach,,,Sold,SAN FRANCISCO
94102,55 Page St #514,1,1,San Francisco,476 sqft,28-Feb-14,"$530,000 ",37.77389,-122.421875,CA,Condo,530000,"$477,000 ",,Hayes Valley,,,Sold,SAN FRANCISCO
94107,750 2nd St #401,2,2,San Francisco,"1,591 sqft",28-Feb-14,"$1,935,000 ",37.780006,-122.390274,CA,Condo,1935000,"$1,722,000 ",,South Beach,,,Sold,SAN FRANCISCO
94107,572 Missouri St #572A,2,2,San Francisco,"1,765 sqft",28-Feb-14,"$1,250,000 ",37.759083,-122.39633,CA,Condo,1250000,"$1,228,000 ",,Potrero Hill,,,Sold,SAN FRANCISCO
94110,334 Holladay Ave,1,,San Francisco,"1,275 sqft",28-Feb-14,"$760,000 ",37.744442,-122.40603,CA,Single-Family Home,760000,"$1,202,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94131,1580 Sanchez St #1582,3,,San Francisco,"3,100 sqft",28-Feb-14,"$1,550,000 ",37.743805,-122.42923,CA,Multi-Family,1550000,,,Noe Valley,,,Sold,SAN FRANCISCO
94107,249 Shipley St #2,1,1,San Francisco,892 sqft,28-Feb-14,"$695,000 ",37.77889,-122.40376,CA,Condo,695000,"$773,000 ",,SoMa,,,Sold,SAN FRANCISCO
94107,1025 17th St #8,2,,San Francisco,829 sqft,28-Feb-14,"$589,000 ",37.765003,-122.39434,CA,Condo,589000,"$743,000 ",,Potrero Hill,,,Sold,SAN FRANCISCO
94107,650 Delancey St #105,2,,San Francisco,"1,554 sqft",28-Feb-14,"$1,375,000 ",37.782776,-122.38969,CA,Condo,1375000,"$1,433,000 ",,South Beach,,,Sold,SAN FRANCISCO
94122,1455 41st Ave,1,,San Francisco,"1,250 sqft",28-Feb-14,"$823,500 ",37.759613,-122.500824,CA,Single-Family Home,823500,"$1,034,000 ",,Outer Sunset,,,Sold,SAN FRANCISCO
94105,355 1st St #S810,1,1,San Francisco,675 sqft,28-Feb-14,"$740,000 ",37.78703,-122.39364,CA,Condo,740000,"$768,000 ",,South Beach,,,Sold,SAN FRANCISCO
94131,85 Turquoise Way,2,,San Francisco,"2,200 sqft",28-Feb-14,"$1,425,000 ",37.74383,-122.44497,CA,Single-Family Home,1425000,"$1,474,000 ",,Diamond Heights,,,Sold,SAN FRANCISCO
94110,435 Dolores St,1,3,San Francisco,"1,400 sqft",28-Feb-14,"$1,335,000 ",37.762512,-122.42578,CA,Condo,1335000,"$1,313,000 ",,Mission Dolores,,,Sold,SAN FRANCISCO
94116,2206 38th Ave,1,3,San Francisco,"1,300 sqft",28-Feb-14,"$800,000 ",37.745686,-122.49603,CA,Single-Family Home,800000,"$831,000 ",,Outer Sunset,,,Sold,SAN FRANCISCO
94115,1743 Golden Gate Ave #1753,12,12,San Francisco,"9,651 sqft",28-Feb-14,"$4,190,000 ",37.778343,-122.439285,CA,Multi-Family,4190000,,,North Park,,,Sold,SAN FRANCISCO
94114,913 Alvarado St,3,4,San Francisco,"2,461 sqft",28-Feb-14,"$2,490,000 ",37.753025,-122.4414,CA,Single-Family Home,2490000,"$2,635,000 ",,Noe Valley,,,Sold,SAN FRANCISCO
94134,206 Silliman St #208,2,,San Francisco,"1,500 sqft",28-Feb-14,"$670,000 ",37.73087,-122.40737,CA,Multi-Family,670000,,,Portola,,,Sold,SAN FRANCISCO
94110,2209 Bryant St,1,2,San Francisco,"1,212 sqft",28-Feb-14,"$1,100,000 ",37.75895,-122.4094,CA,Condo,1100000,"$1,101,000 ",,Potrero Hill,,,Sold,SAN FRANCISCO
94112,180 Laura St,2,3,San Francisco,"1,125 sqft",28-Feb-14,"$725,000 ",37.71161,-122.45222,CA,Single-Family Home,725000,"$714,000 ",,Outer Mission,,,Sold,SAN FRANCISCO
94112,2586 San Jose Ave,1,,San Francisco,"1,025 sqft",28-Feb-14,"$895,000 ",37.7167,-122.45031,CA,Single-Family Home,895000,"$734,000 ",,Ingleside,,,Sold,SAN FRANCISCO
94118,2001 Mcallister St #238,1,1,San Francisco,681 sqft,28-Feb-14,"$630,000 ",37.776382,-122.44569,CA,Condo,630000,"$688,000 ",,North Park,,,Sold,SAN FRANCISCO
94109,1450 Post St #502,,,San Francisco,565 sqft,28-Feb-14,"$115,000 ",37.78636,-122.425835,CA,Condo,115000,"$240,000 ",,Lower Pacific Heights,,,Sold,SAN FRANCISCO
94107,219 Brannan St #12A,1,1,San Francisco,808 sqft,28-Feb-14,"$995,000 ",37.782646,-122.39039,CA,Condo,995000,"$1,016,000 ",,South Beach,,,Sold,SAN FRANCISCO
94103,48 Langton St #3,2,2,San Francisco,"1,266 sqft",28-Feb-14,"$1,100,000 ",37.7768,-122.40926,CA,Condo,1100000,"$1,176,000 ",,SoMa,,,Sold,SAN FRANCISCO
94124,1495 Shafter Ave,1,,San Francisco,"1,025 sqft",28-Feb-14,"$465,000 ",37.729748,-122.38887,CA,Single-Family Home,465000,"$505,000 ",,Bayview,,,Sold,SAN FRANCISCO
94104,690 Market St #1705,1,1,San Francisco,952 sqft,28-Feb-14,"$1,300,000 ",37.788246,-122.40323,CA,Condo,1300000,"$1,443,000 ",,Downtown,,,Sold,SAN FRANCISCO
94124,3223 Jennings St,2,3,San Francisco,"2,355 sqft",28-Feb-14,"$601,000 ",37.719685,-122.39494,CA,Single-Family Home,601000,"$680,000 ",,Bayview,,,Sold,SAN FRANCISCO
94110,132 Brewster St,2,3,San Francisco,"1,932 sqft",28-Feb-14,"$1,250,000 ",37.744556,-122.40722,CA,Single-Family Home,1250000,"$1,380,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94118,2001 Mcallister St #146,1,1,San Francisco,682 sqft,28-Feb-14,"$335,000 ",37.776382,-122.44569,CA,Condo,335000,"$678,000 ",,North Park,,,Sold,SAN FRANCISCO
94112,555 Paris St,1,,San Francisco,"1,200 sqft",28-Feb-14,"$680,000 ",37.719837,-122.43598,CA,Single-Family Home,680000,"$746,000 ",,Excelsior,,,Sold,SAN FRANCISCO
94110,400 Alemany Blvd #8,1,2,San Francisco,866 sqft,28-Feb-14,"$340,000 ",37.733143,-122.414566,CA,Condo,340000,"$666,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94103,321 Langton St #1,2,,San Francisco,"1,367 sqft",28-Feb-14,"$985,000 ",37.773624,-122.40472,CA,Condo,985000,"$928,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94107,200 Townsend St #12,1,,San Francisco,818 sqft,28-Feb-14,"$699,000 ",37.778885,-122.3933,CA,Condo,699000,"$786,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94121,743 45th Ave,3,4,San Francisco,"2,125 sqft",28-Feb-14,"$932,000 ",37.774475,-122.50616,CA,Single-Family Home,932000,"$1,171,000 ",,Outer Richmond,,,Sold,SAN FRANCISCO
94111,733 Front St #407,1,1,San Francisco,843 sqft,28-Feb-14,"$799,500 ",37.798027,-122.40009,CA,Condo,799500,"$798,000 ",,Financial District,,,Sold,SAN FRANCISCO
94123,2367 Bay St #2367A,1,,San Francisco,418 sqft,28-Feb-14,"$555,000 ",37.80121,-122.44591,CA,Condo,555000,"$618,000 ",,Marina,,,Sold,SAN FRANCISCO
94132,174 Byxbee St,1,,San Francisco,"1,168 sqft",28-Feb-14,"$669,500 ",37.717445,-122.46956,CA,Single-Family Home,669500,"$786,000 ",,Merced Heights,,,Sold,SAN FRANCISCO
94122,1329 16th Ave,5,,San Francisco,"4,959 sqft",28-Feb-14,"$1,550,000 ",37.763107,-122.4742,CA,Multi-Family,1550000,,,Inner Sunset,,,Sold,SAN FRANCISCO
94112,22 Brighton Ave,1,,San Francisco,"1,268 sqft",28-Feb-14,"$914,000 ",37.71868,-122.454796,CA,Single-Family Home,914000,"$787,000 ",,Ingleside,,,Sold,SAN FRANCISCO
94109,960 Bush St #113,1,1,San Francisco,550 sqft,28-Feb-14,"$407,500 ",37.789944,-122.41273,CA,Condo,407500,"$534,000 ",,Downtown,,,Sold,SAN FRANCISCO
94109,901 Bush St #103,,,San Francisco,426 sqft,28-Feb-14,"$535,000 ",37.78952,-122.41228,CA,Condo,535000,"$586,000 ",,Downtown,,,Sold,SAN FRANCISCO
94118,3499 Sacramento St,,,San Francisco,828 sqft,28-Feb-14,"$750,000 ",37.78766,-122.45006,CA,Condo,750000,"$950,000 ",,Presidio Heights,,,Sold,SAN FRANCISCO
94107,555 4th St #732,1,1,San Francisco,680 sqft,28-Feb-14,"$621,000 ",37.779423,-122.39671,CA,Condo,621000,"$722,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94131,970 Duncan St #104F,2,,San Francisco,"1,175 sqft",28-Feb-14,"$599,000 ",37.745384,-122.44203,CA,Condo,599000,"$698,000 ",,Diamond Heights,,,Sold,SAN FRANCISCO
94117,2168 Grove St #2170,2,,San Francisco,"3,026 sqft",28-Feb-14,"$1,425,000 ",37.77436,-122.45236,CA,Multi-Family,1425000,,,North Park,,,Sold,SAN FRANCISCO
94110,1450 Guerrero St,4,,San Francisco,"3,180 sqft",28-Feb-14,"$2,250,000 ",37.74783,-122.42274,CA,Multi-Family,2250000,,,Noe Valley,,,Sold,SAN FRANCISCO
94131,317 29th St #208,,,San Francisco,908 sqft,28-Feb-14,"$1,050,000 ",37.743374,-122.42747,CA,Condo,1050000,"$1,047,000 ",,Noe Valley,,,Sold,SAN FRANCISCO
94110,4107 Folsom St,1,2,San Francisco,822 sqft,28-Feb-14,"$795,000 ",37.735786,-122.413414,CA,Condo,795000,"$814,000 ",,Bernal Heights,,,Sold,SAN FRANCISCO
94110,665 Moultrie St #667,2,,San Francisco,"2,200 sqft",28-Feb-14,"$1,008,000 ",37.736332,-122.41585,CA,Multi-Family,1008000,,,Bernal Heights,,,Sold,SAN FRANCISCO
94109,900 Bush St,2,2,San Francisco,831 sqft,28-Feb-14,"$620,000 ",37.789944,-122.41273,CA,Condo,620000,"$715,000 ",,Downtown,,,Sold,SAN FRANCISCO
94109,2363 Larkin St #4,1,,San Francisco,663 sqft,28-Feb-14,"$560,000 ",37.799706,-122.421135,CA,Condo,560000,"$825,000 ",,Russian Hill,,,Sold,SAN FRANCISCO
94102,601 Van Ness Ave #422,2,2,San Francisco,"1,099 sqft",28-Feb-14,"$740,000 ",37.781387,-122.42141,CA,Condo,740000,"$772,000 ",,Civic Center,,,Sold,SAN FRANCISCO
94131,45 Dellbrook Ave,2,4,San Francisco,"1,275 sqft",27-Feb-14,"$1,001,000 ",37.750004,-122.453766,CA,Single-Family Home,1001000,"$1,214,000 ",,Midtown Terrace,,,Sold,SAN FRANCISCO
94131,615 Bosworth St #617,2,,San Francisco,"1,970 sqft",27-Feb-14,"$850,000 ",37.733353,-122.43453,CA,Multi-Family,850000,,,Glen Park,,,Sold,SAN FRANCISCO
94134,161 Girard St,2,,San Francisco,"1,475 sqft",27-Feb-14,"$820,000 ",37.73029,-122.40547,CA,Single-Family Home,820000,"$823,000 ",,Portola,,,Sold,SAN FRANCISCO
94115,1235 Mcallister St #311,,,San Francisco,636 sqft,27-Feb-14,"$256,000 ",37.778034,-122.43251,CA,Condo,256000,"$552,000 ",,Alamo Square,,,Sold,SAN FRANCISCO
94107,601 4th St #321,1,1,San Francisco,"1,502 sqft",27-Feb-14,"$1,195,000 ",37.778164,-122.395775,CA,Condo,1195000,"$1,169,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94127,688 Teresita Blvd,1,,San Francisco,"1,288 sqft",27-Feb-14,"$837,000 ",37.73586,-122.446655,CA,Single-Family Home,837000,"$936,000 ",,Miraloma,,,Sold,SAN FRANCISCO
94121,587 18th Ave,2,,San Francisco,"2,000 sqft",27-Feb-14,"$1,219,000 ",37.77691,-122.47724,CA,Single-Family Home,1219000,"$1,322,000 ",,Central Richmond,,,Sold,SAN FRANCISCO
94112,109 Ottawa Ave,1,,San Francisco,"1,220 sqft",27-Feb-14,"$723,000 ",37.71536,-122.44627,CA,Single-Family Home,723000,"$730,000 ",,Outer Mission,,,Sold,SAN FRANCISCO
94109,1440 Jones St,7,,San Francisco,"6,111 sqft",27-Feb-14,"$2,612,500 ",37.79466,-122.4144,CA,Multi-Family,2612500,,,Nob Hill,,,Sold,SAN FRANCISCO
94132,8400 Oceanview Ter #111,1,1,San Francisco,669 sqft,27-Feb-14,"$390,000 ",37.71042,-122.467705,CA,Condo,390000,"$456,000 ",,Ingleside Heights,,,Sold,SAN FRANCISCO
94112,415 Amazon Ave,1,,San Francisco,"1,155 sqft",27-Feb-14,"$630,000 ",37.716087,-122.43659,CA,Single-Family Home,630000,"$684,000 ",,Excelsior,,,Sold,SAN FRANCISCO
94107,650 2nd St #204,2,,San Francisco,"1,798 sqft",27-Feb-14,"$1,300,000 ",37.78096,-122.391556,CA,Condo,1300000,"$1,406,000 ",,South Beach,,,Sold,SAN FRANCISCO
94109,151 Alice B Toklas Pl #512,2,2,San Francisco,"1,856 sqft",27-Feb-14,"$1,400,000 ",37.785088,-122.42068,CA,Condo,1400000,"$1,573,000 ",,Civic Center,,,Sold,SAN FRANCISCO
94109,66 Cleary Ct #703,2,5,San Francisco,"1,102 sqft",27-Feb-14,"$735,000 ",37.784386,-122.42697,CA,Condo,735000,"$827,000 ",,Western Addition,,,Sold,SAN FRANCISCO
94107,1310 Minnesota St #17,1,,San Francisco,932 sqft,27-Feb-14,"$755,000 ",37.7537,-122.39007,CA,Condo,755000,"$767,000 ",,Central Waterfront,,,Sold,SAN FRANCISCO
94107,139 Stillman St #4,,,San Francisco,715 sqft,27-Feb-14,"$510,000 ",37.780907,-122.39715,CA,Condo,510000,"$679,000 ",,Mission Bay,,,Sold,SAN FRANCISCO
94110,1207 Guerrero St,,,San Francisco,,27-Feb-14,"$850,000 ",37.751698,-122.42261,CA,Condo,850000,,,Noe Valley,,,Sold,SAN FRANCISCO
94118,2001 Mcallister St #118,2,2,San Francisco,"1,011 sqft",27-Feb-14,"$926,000 ",37.776382,-122.44569,CA,Condo,926000,"$929,000 ",,North Park,,,Sold,SAN FRANCISCO
94114,60 Danvers St #62,,,San Francisco,"2,732 sqft",27-Feb-14,"$1,159,000 ",37.76053,-122.44382,CA,Multi-Family,1159000,,,Castro,,,Sold,SAN FRANCISCO
94109,1800 Washington St #212,,,San Francisco,745 sqft,27-Feb-14,"$775,000 ",37.79343,-122.42343,CA,Condo,775000,"$892,000 ",,Pacific Heights,,,Sold,SAN FRANCISCO
