zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95128,2388 W Hedding St,1,3,San Jose,"1,134 sqft",31-Dec-69,$0 ,37.32998,-121.94626,CA,Single-Family Home,635000,,,Downtown San Jose,62,43,For Sale,SANTA CLARA
95126,809 Auzerais Ave #356,2,1,San Jose,824 sqft,31-Dec-69,$0 ,37.321342,-121.90435,CA,Condo,358000,,,Downtown San Jose,78,,For Sale,SANTA CLARA
95127,10236 Dale Dr,1,3,San Jose,997 sqft,31-Dec-69,$0 ,37.361526,-121.818085,CA,Single-Family Home,349900,,,Alum Rock,52,44,For Sale,SANTA CLARA
95132,2649 Heritage Park Cir,2.5,3,San Jose,,31-Dec-69,$0 ,37.394005,-121.862724,CA,Single-Family Home,598888,,,Berryessa,42,49,For Sale,SANTA CLARA
95136,3016 Mary Helen Ln,4,3,San Jose,"1,757 sqft",31-Dec-69,$0 ,37.28741,-121.862946,CA,Single-Family Home,645000,,,South San Jose,29,41,For Sale,SANTA CLARA
95117,1199 Topaz Ave,2,4,San Jose,"1,556 sqft",31-Dec-69,$0 ,37.30347,-121.97014,CA,Single-Family Home,675000,,,West San Jose,45,39,For Sale,SANTA CLARA
95120,20780 Scenic Vista Dr,3,4,San Jose,"2,916 sqft",31-Dec-69,$0 ,37.218273,-121.82277,CA,Single-Family Home,2200000,,,Edenvale,5,14,For Sale,SANTA CLARA
95128,678 Teatree Ct,1,1,San Jose,658 sqft,31-Dec-69,$0 ,37.315166,-121.93907,CA,Condo,319000,,,Downtown San Jose,63,45,For Sale,SANTA CLARA
95117,1426 Maria Way,2,4,San Jose,"1,490 sqft",31-Dec-69,$0 ,37.29831,-121.95832,CA,Single-Family Home,725000,,,West San Jose,60,36,For Sale,SANTA CLARA
95112,320 N 16th St,1,2,San Jose,988 sqft,31-Dec-69,$0 ,37.348362,-121.87865,CA,Single-Family Home,379000,,,Downtown San Jose,69,51,For Sale,SANTA CLARA
95112,The Zinnia - Cottage Three Plan,3,4,San Jose,"1,748 sqft",31-Dec-69,$0 ,37.355953,-121.89154,CA,Single-Family Home,800000,,,Downtown San Jose,66,51,For Sale,SANTA CLARA
95124,6043 Calle De Rico,4,3,San Jose,"2,235 sqft",31-Dec-69,$0 ,37.228745,-121.90532,CA,Condo,699000,,,Cambrian Park,31,0,For Sale,SANTA CLARA
95127,15183 Garcal Dr,5,6,San Jose,"5,546 sqft",31-Dec-69,$0 ,37.37649,-121.80336,CA,Single-Family Home,1395000,,,Alum Rock,9,0,For Sale,SANTA CLARA
95120,6591 Rocky Crest Dr,3,4,San Jose,"2,477 sqft",31-Dec-69,$0 ,37.22519,-121.85478,CA,Single-Family Home,1298000,,,Almaden Valley,43,0,For Sale,SANTA CLARA
95123,787 Coffey Ct,2,4,San Jose,"1,356 sqft",31-Dec-69,$0 ,37.24204,-121.84722,CA,Single-Family Home,599000,,,Edenvale,40,0,For Sale,SANTA CLARA
95112,976 S 12th St,,,San Jose,"1,510 sqft",31-Dec-69,$0 ,37.327236,-121.86782,CA,Multi-Family Home,409000,,,Downtown San Jose,52,44,For Sale,SANTA CLARA
95125,1289 Prevost St,1,2,San Jose,"1,061 sqft",31-Dec-69,$0 ,37.311157,-121.88886,CA,Single-Family Home,599000,,,Willow Glen,49,56,For Sale,SANTA CLARA
95112,1060 S 3rd St #172,1,1,San Jose,550 sqft,31-Dec-69,$0 ,37.32155,-121.87657,CA,Apt/Condo/Twnhm,255000,,,Downtown San Jose,78,48,For Sale,SANTA CLARA
95131,1910 Beaufort Ter,2.5,3,San Jose,,31-Dec-69,$0 ,37.386692,-121.89619,CA,Townhome,628000,,,Berryessa,74,,For Sale,SANTA CLARA
95133,482 Genoa Dr,2,2,San Jose,"1,060 sqft",31-Dec-69,$0 ,37.372612,-121.848366,CA,Mobile/Manufactured,89900,,,Alum Rock,62,51,For Sale,SANTA CLARA
95136,647 Shadow Creek Dr,2,3,San Jose,"1,620 sqft",31-Dec-69,$0 ,37.27832,-121.8634,CA,Mobile/Manufactured,199000,,,South San Jose,48,48,For Sale,SANTA CLARA
95120,781 Coffeewood Ct,2,3,San Jose,"1,780 sqft",31-Dec-69,$0 ,37.209827,-121.830925,CA,Single-Family Home,1018888,,,Almaden Valley,26,18,For Sale,SANTA CLARA
95129,599 Heathertree Ln,2,2,San Jose,"1,230 sqft",31-Dec-69,$0 ,37.316116,-121.9875,CA,Townhome,625000,,,West San Jose,55,41,For Sale,SANTA CLARA
95136,510 Saddle Brook Dr #38,2,2,San Jose,"1,060 sqft",31-Dec-69,$0 ,37.262543,-121.81818,CA,Mobile/Manufactured,74900,,,Edenvale,46,40,For Sale,SANTA CLARA
95138,200 Ford Rd #199,2,2,San Jose,"1,417 sqft",31-Dec-69,$0 ,37.25288,-121.79327,CA,Mobile/Manufactured,119900,,,Edenvale,43,40,For Sale,SANTA CLARA
95136,5115 Bickley Ct,2,3,San Jose,"1,486 sqft",31-Dec-69,$0 ,37.25917,-121.86432,CA,Single-Family Home,699000,,,Edenvale,65,53,For Sale,SANTA CLARA
95129,1137 Cabot Pl,2,4,San Jose,"2,074 sqft",31-Dec-69,$0 ,37.30435,-122.020935,CA,Single-Family Home,1550000,,,West San Jose,49,38,For Sale,SANTA CLARA
95136,4246 Monet Cir,2,3,San Jose,"1,442 sqft",31-Dec-69,$0 ,37.2719,-121.83728,CA,Single-Family Home,636000,,,Edenvale,68,49,For Sale,SANTA CLARA
95120,1584 Monteval Ln,2.5,3,San Jose,"1,866 sqft",31-Dec-69,$0 ,37.225567,-121.9018,CA,Single-Family Home,899000,,,Almaden Valley,38,22,For Sale,SANTA CLARA
95123,6117 Dunn Ave,3,5,San Jose,"25,096 sqft",31-Dec-69,$0 ,37.236755,-121.82237,CA,Single-Family Home,775000,,,Edenvale,34,32,For Sale,SANTA CLARA
95120,1388 Cerro Verde,2.5,4,San Jose,"1,974 sqft",31-Dec-69,$0 ,37.22226,-121.88892,CA,Single-Family Home,939000,,,Almaden Valley,35,24,For Sale,SANTA CLARA
95132,15390 Skyview Ter,2,3,San Jose,"2,800 sqft",31-Dec-69,$0 ,37.403244,-121.83432,CA,Single-Family Home,1449000,,,Berryessa,12,0,For Sale,SANTA CLARA
95126,992 Morse St,3,4,San Jose,"2,032 sqft",31-Dec-69,$0 ,37.341133,-121.9263,CA,Single-Family Home,1149950,,,Downtown San Jose,58,49,For Sale,SANTA CLARA
95118,5657 Holland Ln,1.5,3,San Jose,"1,358 sqft",31-Dec-69,$0 ,37.24148,-121.88929,CA,Single-Family Home,715900,,,Cambrian Park,75,33,For Sale,SANTA CLARA
95120,1369 Echo Valley Dr,3,4,San Jose,"3,072 sqft",31-Dec-69,$0 ,37.207535,-121.86769,CA,Single-Family Home,1499000,,,Almaden Valley,26,0,For Sale,SANTA CLARA
95128,1220 Greenbriar Ave,2,3,San Jose,"1,521 sqft",31-Dec-69,$0 ,37.303425,-121.945854,CA,Single-Family Home,799000,,,,66,42,For Sale,SANTA CLARA
95111,704 Braxton Dr,2,3,San Jose,"1,353 sqft",31-Dec-69,$0 ,37.27508,-121.81035,CA,Single-Family Home,615000,,,Edenvale,20,33,For Sale,SANTA CLARA
95138,5311 Canyon Hills Ln,4,5,San Jose,"3,410 sqft",31-Dec-69,$0 ,37.289352,-121.77762,CA,Single-Family Home,1949000,,,Evergreen,37,24,For Sale,SANTA CLARA
95123,1175 Foxchase Dr,1,1,San Jose,"1,021 sqft",31-Dec-69,$0 ,37.2535,-121.873314,CA,Condo,349950,,,Cambrian Park,72,45,For Sale,SANTA CLARA
95112,1060 S 3rd St #122,2,2,San Jose,,31-Dec-69,$0 ,37.32155,-121.87657,CA,Apt/Condo/Twnhm,250000,,,Downtown San Jose,85,49,For Sale,SANTA CLARA
95123,5672 Calmor Ct 2 Ct,1,2,San Jose,903 sqft,31-Dec-69,$0 ,37.2465,-121.852,CA,Townhome,269000,,,Edenvale,62,36,For Sale,SANTA CLARA
95111,157 Knightshaven Way,3,4,San Jose,"2,330 sqft",31-Dec-69,$0 ,37.2719,-121.81825,CA,Single-Family Home,699500,,,Edenvale,32,44,For Sale,SANTA CLARA
95127,14737 Clayton Rd,3,5,San Jose,"3,450 sqft",31-Dec-69,$0 ,37.372787,-121.77552,CA,Single-Family Home,899000,,,Alum Rock,2,0,For Sale,SANTA CLARA
95123,5701 Calmor Ave #1,1,2,San Jose,810 sqft,31-Dec-69,$0 ,37.24667,-121.85322,CA,Condo,318500,,,Edenvale,62,36,For Sale,SANTA CLARA
