zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94404,504 Fathom Dr,2,2,San Mateo,"1,040 sqft",31-Dec-69,$0 ,37.566784,-122.285034,CA,Single-Family Home,698888,,,Marina Lagoon,52,,For Sale,SAN MATEO
94401,425 N El Camino Real #412,2,2,San Mateo,"1,278 sqft",31-Dec-69,$0 ,37.570084,-122.33642,CA,Condo,575000,,,North Central,55,,For Sale,SAN MATEO
94402,1705 Palm Ave #4,1.5,1,San Mateo,802 sqft,31-Dec-69,$0 ,37.553223,-122.31225,CA,Condo,442000,,,Haywood Park,80,,For Sale,SAN MATEO
94401,32 Creekside Ln,4,3,San Mateo,,31-Dec-69,$0 ,37.570145,-122.31734,CA,Single-Family Home,839000,,,North Central,82,,For Sale,SAN MATEO
94404,688 Mariners Island Blvd #207,1,1,San Mateo,726 sqft,31-Dec-69,$0 ,37.563995,-122.28534,CA,Condo,409990,,,Marina Lagoon,60,,For Sale,SAN MATEO
94402,30 Mounds Rd #202,2,2,San Mateo,"1,352 sqft",31-Dec-69,$0 ,37.567425,-122.33286,CA,Condo,698000,,,Baywood-Aragon,78,,For Sale,SAN MATEO
94403,770 27th Ave,4.5,6,San Mateo,"4,193 sqft",31-Dec-69,$0 ,37.536453,-122.31985,CA,Single-Family Home,2299500,,,Beresford,60,,For Sale,SAN MATEO
94401,401 S Norfolk St #116,2,2,San Mateo,913 sqft,31-Dec-69,$0 ,37.572384,-122.30973,CA,Condo,503888,,,Shoreview,66,,For Sale,SAN MATEO
94401,516 Peninsula Ave,,,San Mateo,"2,300 sqft",31-Dec-69,$0 ,37.579758,-122.33523,CA,Single-Family Home,1699000,,,North Central,77,,For Sale,SAN MATEO
94401,711 S Bayshore Blvd #16,1,2,San Mateo,750 sqft,31-Dec-69,$0 ,37.568436,-122.310356,CA,Condo,388000,,,Shoreview,62,,For Sale,SAN MATEO
