zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94403,2600 S Delaware St,,,San Mateo,,20-Feb-14,"$812,500 ",37.54391,-122.300224,CA,Multi-Family,812500,,,Hillsdale,,,Sold,SAN MATEO
94403,36 Live Oak Dr,,,San Mateo,,20-Feb-14,"$482,000 ",37.54071,-122.32935,CA,Lot/Land,482000,,,Beresford,,,Sold,SAN MATEO
94402,112 Madison Ave #210,2,2,San Mateo,"1,200 sqft",19-Feb-14,"$740,000 ",37.55426,-122.31933,CA,Condo,740000,"$770,000 ",,Haywood Park,,,Sold,SAN MATEO
94401,128 N El Camino Real #107,2,2,San Mateo,"1,355 sqft",19-Feb-14,"$660,000 ",37.567818,-122.330734,CA,Condo,660000,"$671,000 ",,North Central,,,Sold,SAN MATEO
94403,1569 De Anza Blvd,2.5,2,San Mateo,"2,200 sqft",19-Feb-14,"$1,105,000 ",37.522087,-122.32624,CA,Single-Family Home,1105000,"$1,132,000 ",,Sugarloaf,,,Sold,SAN MATEO
94402,151 16th Ave,1,3,San Mateo,"1,900 sqft",14-Feb-14,"$1,250,000 ",37.555557,-122.312515,CA,Single-Family Home,1250000,"$1,275,000 ",,Haywood Park,,,Sold,SAN MATEO
94403,1209 W Hillsdale Blvd,5,9,San Mateo,"5,462 sqft",14-Feb-14,"$1,850,000 ",37.53285,-122.32539,CA,Multi-Family,1850000,,,Sugarloaf,,,Sold,SAN MATEO
94404,1622 Via Laguna #7,2,2,San Mateo,"1,070 sqft",14-Feb-14,"$650,000 ",37.554764,-122.28484,CA,Condo,650000,"$684,000 ",,Marina Lagoon,,,Sold,SAN MATEO
94401,241 N Humboldt St,2,2,San Mateo,"1,370 sqft",14-Feb-14,"$628,500 ",37.575577,-122.323204,CA,Multi-Family,628500,"$788,000 ",,North Central,,,Sold,SAN MATEO
94401,660 N El Camino Real,1,2,San Mateo,"1,250 sqft",14-Feb-14,"$875,000 ",37.572655,-122.33914,CA,Single-Family Home,875000,"$1,036,000 ",,North Central,,,Sold,SAN MATEO
94403,231 Louise Ln,2.5,3,San Mateo,"2,150 sqft",14-Feb-14,"$1,588,500 ",37.533875,-122.30585,CA,Single-Family Home,1588500,"$1,635,000 ",,Beresford,,,Sold,SAN MATEO
94401,810 N Delaware St,1.5,2,San Mateo,"1,152 sqft",14-Feb-14,"$614,000 ",37.58069,-122.331245,CA,Condo,614000,"$672,000 ",,North Central,,,Sold,SAN MATEO
94402,114 Clark Dr,5,6,San Mateo,"4,540 sqft",14-Feb-14,"$3,700,000 ",37.570595,-122.34217,CA,Single-Family Home,3700000,"$2,496,000 ",,San Mateo Park,,,Sold,SAN MATEO
94403,3050 Los Prados St #19,1,,San Mateo,490 sqft,13-Feb-14,"$260,000 ",37.54448,-122.28163,CA,Condo,260000,"$312,000 ",,,,,Sold,SAN MATEO
94401,900 E 3rd Ave,2.5,2,San Mateo,"1,580 sqft",13-Feb-14,"$782,000 ",37.56911,-122.31686,CA,Single-Family Home,782000,"$821,000 ",,North Central,,,Sold,SAN MATEO
94403,1945 Palm Ave,1,2,San Mateo,"1,030 sqft",13-Feb-14,"$710,000 ",37.5499,-122.3088,CA,Single-Family Home,710000,"$798,000 ",,Hillsdale,,,Sold,SAN MATEO
94402,1239 Tilia St,2,3,San Mateo,"1,320 sqft",13-Feb-14,"$1,311,500 ",37.549797,-122.324234,CA,Single-Family Home,1311500,"$1,175,000 ",,Haywood Park,,,Sold,SAN MATEO
94401,21 10th Ave,1,3,San Mateo,"2,750 sqft",12-Feb-14,"$1,400,000 ",37.558105,-122.319084,CA,Single-Family Home,1400000,"$1,423,000 ",,Haywood Park,,,Sold,SAN MATEO
94401,608 Ocean View Ave,1,3,San Mateo,"1,000 sqft",11-Feb-14,"$635,000 ",37.572502,-122.306335,CA,Single-Family Home,635000,"$673,000 ",,Shoreview,,,Sold,SAN MATEO
94404,490 Mariners Island Blvd #212,2,2,San Mateo,"1,250 sqft",11-Feb-14,"$550,000 ",37.56729,-122.28483,CA,Condo,550000,"$679,000 ",,Vintage Park,,,Sold,SAN MATEO
94401,816 Jefferson Ct,1,2,San Mateo,"1,157 sqft",11-Feb-14,"$651,000 ",37.575733,-122.338165,CA,Condo,651000,"$730,000 ",,North Central,,,Sold,SAN MATEO
94403,347 Rolling Hills Ave,2,3,San Mateo,"1,990 sqft",7-Feb-14,"$1,220,000 ",37.527332,-122.303345,CA,Single-Family Home,1220000,"$1,236,000 ",,Sugarloaf,,,Sold,SAN MATEO
94403,1665 Wellesley Ave,3,4,San Mateo,"2,270 sqft",6-Feb-14,"$685,000 ",37.561234,-122.29523,CA,Single-Family Home,685000,"$962,000 ",,Shoreview,,,Sold,SAN MATEO
94402,23 Mounds Rd,3,4,San Mateo,"3,200 sqft",6-Feb-14,"$1,865,000 ",37.56747,-122.33368,CA,Single-Family Home,1865000,"$2,715,000 ",,Baywood-Aragon,,,Sold,SAN MATEO
94401,847 N Humboldt St #403,1,,San Mateo,492 sqft,5-Feb-14,"$310,000 ",37.58069,-122.331245,CA,Condo,310000,"$337,000 ",,North Central,,,Sold,SAN MATEO
94403,40 Live Oak Dr,,,San Mateo,,4-Feb-14,"$1,496,500 ",37.54092,-122.329185,CA,Lot/Land,1496500,,,Beresford,,,Sold,SAN MATEO
94401,1737 Trollman Ave,2.5,4,San Mateo,"2,070 sqft",3-Feb-14,"$750,000 ",37.581684,-122.31484,CA,Single-Family Home,750000,"$906,000 ",,Shoreview,,,Sold,SAN MATEO
94401,601 Laurel Ave #906,2,2,San Mateo,"1,480 sqft",31-Jan-14,"$827,500 ",37.562614,-122.32079,CA,Condo,827500,"$848,000 ",,Downtown,,,Sold,SAN MATEO
94402,1021 S Idaho St,,,San Mateo,,31-Jan-14,"$864,000 ",37.564453,-122.308784,CA,Single-Family Home,864000,,,Haywood Park,,,Sold,SAN MATEO
94404,654 Fathom Dr,2.5,3,San Mateo,"1,840 sqft",31-Jan-14,"$1,065,000 ",37.564587,-122.285934,CA,Single-Family Home,1065000,"$978,000 ",,Marina Lagoon,,,Sold,SAN MATEO
