zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94582,3426 Java Dr,3,5,San Ramon,"2,500 sqft",31-Dec-69,$0 ,37.780148,-121.96248,CA,Single-Family Home,939000,,,,52,,For Sale,CONTRA COSTA
94582,1236 Andreas Way,2.5,4,San Ramon,"3,223 sqft",31-Dec-69,$0 ,37.765995,-121.90278,CA,Single-Family Home,1100000,,,,18,,For Sale,CONTRA COSTA
94582,108 Canyon Lakes Way,2,4,San Ramon,"2,634 sqft",31-Dec-69,$0 ,37.77687,-121.95427,CA,Single-Family Home,899000,,,,42,,For Sale,CONTRA COSTA
94583,530 Kingsbridge Ct,6,5,San Ramon,"5,400 sqft",31-Dec-69,$0 ,37.750008,-121.989784,CA,Single-Family Home,2099000,,,,3,,For Sale,CONTRA COSTA
94582,125 Lucy Ln,3,3,San Ramon,"2,620 sqft",31-Dec-69,$0 ,37.768513,-121.92319,CA,Single-Family Home,919900,,,,46,,For Sale,CONTRA COSTA
94582,612 Rock Rose Ln,3,4,San Ramon,"2,847 sqft",31-Dec-69,$0 ,37.78371,-121.92095,CA,Single-Family Home,999999,,,,25,,For Sale,CONTRA COSTA
94582,115 Alisma Ct,3,5,San Ramon,"2,970 sqft",31-Dec-69,$0 ,37.77007,-121.94039,CA,Single-Family Home,1199000,,,,38,,For Sale,CONTRA COSTA
94583,6007 Westside Dr,3,4,San Ramon,"3,342 sqft",31-Dec-69,$0 ,37.73948,-121.95571,CA,Single-Family Home,1299000,,,,17,,For Sale,CONTRA COSTA
94583,9555 Alcosta Blvd,3,5,San Ramon,"2,900 sqft",31-Dec-69,$0 ,37.739162,-121.92714,CA,Single-Family Home,1079000,,,,38,,For Sale,CONTRA COSTA
94583,6018 Westside Dr,2.5,5,San Ramon,"3,342 sqft",31-Dec-69,$0 ,37.740353,-121.9576,CA,Single-Family Home,1249000,,,,18,,For Sale,CONTRA COSTA
94582,249 Copper Ridge Rd,1,1,San Ramon,778 sqft,31-Dec-69,$0 ,37.76892,-121.94658,CA,Condo,319900,,,,57,,For Sale,CONTRA COSTA
94582,304 Eastridge Dr,1,1,San Ramon,,31-Dec-69,$0 ,37.76933,-121.94183,CA,Condo,305000,,,,42,,For Sale,CONTRA COSTA
94583,536 Kingsbridge Ct,5.5,5,San Ramon,"5,034 sqft",31-Dec-69,$0 ,37.74981,-121.989655,CA,Single-Family Home,1998000,,,,5,,For Sale,CONTRA COSTA
94582,381 Bridle Ct,4,4,San Ramon,"3,906 sqft",31-Dec-69,$0 ,37.73836,-121.922386,CA,Single-Family Home,1699000,,,,31,,For Sale,CONTRA COSTA
94582,5935 Lantana Way,3,5,San Ramon,"2,957 sqft",31-Dec-69,$0 ,37.779392,-121.92847,CA,Single-Family Home,1199000,,,,37,,For Sale,CONTRA COSTA
94582,51 Eagle Lake Ct #33,2,3,San Ramon,,31-Dec-69,$0 ,37.784298,-121.94935,CA,Condo,689000,,,,25,,For Sale,CONTRA COSTA
94582,2716 Salisbury Way,3,5,San Ramon,"3,231 sqft",31-Dec-69,$0 ,37.75456,-121.895645,CA,Single-Family Home,1025000,,,,12,,For Sale,CONTRA COSTA
94582,1568 Banbury Dr,4,5,San Ramon,"2,661 sqft",31-Dec-69,$0 ,37.75464,-121.89975,CA,Single-Family Home,962000,,,,17,,For Sale,CONTRA COSTA
94583,703 Destiny Ln,2.5,3,San Ramon,"1,325 sqft",31-Dec-69,$0 ,37.77919,-121.98684,CA,Townhome,535000,,,,,,For Sale,CONTRA COSTA
94583,703 Destiny Ln #50,3,3,San Ramon,"1,325 sqft",31-Dec-69,$0 ,37.779182,-121.986824,CA,Apt/Condo/Twnhm,535000,,,,57,,For Sale,CONTRA COSTA
94582,2553 Mclaren Ln,3,3,San Ramon,"1,950 sqft",31-Dec-69,$0 ,37.760082,-121.90316,CA,Single-Family Home,799000,,,,,,For Sale,CONTRA COSTA
