zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94583,2525 Twin Creeks Dr,1,2,San Ramon,954 sqft,11-Mar-14,"$320,000 ",37.772774,-121.97927,CA,Condo,320000,"$398,000 ",,,,,Sold,CONTRA COSTA
94583,3534 Ashbourne Cir,4.5,5,San Ramon,"4,523 sqft",11-Mar-14,"$1,575,000 ",37.75113,-121.990585,CA,Townhouse,1575000,"$1,638,000 ",,,,,Sold,CONTRA COSTA
94583,12 Century Oaks Ct,2.5,5,San Ramon,"2,914 sqft",11-Mar-14,"$1,049,000 ",37.743977,-121.96081,CA,Townhouse,1049000,"$1,161,000 ",,,,,Sold,CONTRA COSTA
94583,175 Elisha Ln,3,4,San Ramon,"2,378 sqft",10-Mar-14,"$928,500 ",37.742836,-121.95702,CA,Single-Family Home,928500,"$1,068,000 ",,,,,Sold,CONTRA COSTA
94583,505 Cashew Ct,2.5,4,San Ramon,"1,979 sqft",10-Mar-14,"$735,000 ",37.73635,-121.93941,CA,Single-Family Home,735000,"$873,000 ",,,,,Sold,CONTRA COSTA
94582,506 Montrose Ct,3,4,San Ramon,"2,655 sqft",10-Mar-14,"$925,000 ",37.747475,-121.893936,CA,Single-Family Home,925000,"$1,002,000 ",,,,,Sold,CONTRA COSTA
94582,216 Lakeridge Way,2.5,3,San Ramon,"2,044 sqft",7-Mar-14,"$842,000 ",37.78627,-121.94848,CA,Townhouse,842000,"$929,000 ",,,,,Sold,CONTRA COSTA
94583,8985 Alcosta Blvd #181,2.5,2,San Ramon,"1,230 sqft",7-Mar-14,"$335,000 ",37.72565,-121.93569,CA,Condo,335000,"$425,000 ",,,,,Sold,CONTRA COSTA
94583,809 Pradera Way,4,5,San Ramon,"3,553 sqft",7-Mar-14,"$1,219,000 ",37.770676,-121.998245,CA,Townhouse,1219000,"$1,271,000 ",,,,,Sold,CONTRA COSTA
94582,3101 Lakemont Dr #4,2,3,San Ramon,"1,810 sqft",7-Mar-14,"$590,000 ",37.781185,-121.95066,CA,Condo,590000,"$693,000 ",,,,,Sold,CONTRA COSTA
94583,2 Indigo Ln,2.5,4,San Ramon,"1,915 sqft",7-Mar-14,"$810,000 ",37.728165,-121.93259,CA,Townhouse,810000,"$857,000 ",,,,,Sold,CONTRA COSTA
