zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95050,992 Maryann Dr,2,3,Santa Clara,"1,519 sqft",31-Dec-69,$0 ,37.34553,-121.96812,CA,Single-Family Home,749950,,,,65,42,For Sale,SANTA CLARA
95051,3207 Forbes Ave,2,3,Santa Clara,"1,700 sqft",31-Dec-69,$0 ,37.334747,-121.98702,CA,Single-Family Home,855000,,,,57,33,For Sale,SANTA CLARA
95054,3901 Lick Mill Blvd #363,1,1,Santa Clara,908 sqft,31-Dec-69,$0 ,37.39643,-121.94343,CA,Condo,430000,,,,57,48,For Sale,SANTA CLARA
95050,1646 Berna St,2,3,Santa Clara,"1,547 sqft",31-Dec-69,$0 ,37.353973,-121.9618,CA,Single-Family Home,749950,,,,69,47,For Sale,SANTA CLARA
95050,1846 Los Padres Blvd,2,4,Santa Clara,"1,685 sqft",31-Dec-69,$0 ,37.3566,-121.96518,CA,Single-Family Home,375000,,,,65,46,For Sale,SANTA CLARA
95051,2647 Donovan Ave,4,5,Santa Clara,"2,648 sqft",31-Dec-69,$0 ,37.35389,-121.97442,CA,Single-Family Home,1095000,,,,71,47,For Sale,SANTA CLARA
95054,2191 Kingsbury Cir,3,4,Santa Clara,"1,602 sqft",31-Dec-69,$0 ,37.397125,-121.96238,CA,Single-Family Home,788800,,,,52,,For Sale,SANTA CLARA
95050,2114 Sheraton Dr,2,3,Santa Clara,984 sqft,31-Dec-69,$0 ,37.36145,-121.96773,CA,Single-Family Home,599000,,,,42,35,For Sale,SANTA CLARA
95051,980 Kiely Blvd #307,1,1,Santa Clara,622 sqft,31-Dec-69,$0 ,37.34331,-121.97939,CA,Condo,275000,,,,65,42,For Sale,SANTA CLARA
95050,2423 Michele Jean Way,3,3,Santa Clara,"1,872 sqft",31-Dec-69,$0 ,37.335575,-121.96463,CA,Condo,695000,,,,62,35,For Sale,SANTA CLARA
95054,3901 Lick Mill Bl 363 Blvd,1,1,Santa Clara,908 sqft,31-Dec-69,$0 ,37.3964,-121.943,CA,Townhome,430000,,,,54,49,For Sale,SANTA CLARA
95051,3437 Santa Barbara Ave,2,3,Santa Clara,"1,576 sqft",31-Dec-69,$0 ,37.359398,-121.99135,CA,Single-Family Home,848000,,,,65,39,For Sale,SANTA CLARA
95051,3007 Kaiser Dr,2,2,Santa Clara,"1,097 sqft",31-Dec-69,$0 ,37.34219,-121.98188,CA,Townhome,398000,,,,60,39,For Sale,SANTA CLARA
95051,2601 Cortez Dr #5105,1,2,Santa Clara,746 sqft,31-Dec-69,$0 ,37.369232,-121.97526,CA,Apt/Condo/Twnhm,372500,,,,45,33,For Sale,SANTA CLARA
95050,1777 Lafayette St #214,1,1,Santa Clara,"1,220 sqft",31-Dec-69,$0 ,37.35716,-121.94625,CA,Condo,485000,,,,69,51,For Sale,SANTA CLARA
95050,1846 Los Padres Blvd,2,4,Santa Clara,"1,685 sqft",31-Dec-69,$0 ,37.3566,-121.96518,CA,Single-Family Home,794900,,,,65,46,For Sale,SANTA CLARA
95050,2250 Monroe St #288,2,2,Santa Clara,913 sqft,31-Dec-69,$0 ,37.36095,-121.96394,CA,Condo,439000,,,,49,35,For Sale,SANTA CLARA
95051,2601 Cortez Dr 5207 Dr,1,2,Santa Clara,712 sqft,31-Dec-69,$0 ,37.3698,-121.975,CA,Townhome,372500,,,,45,33,For Sale,SANTA CLARA
95050,2176 El Capitan Ave,2,4,Santa Clara,"1,248 sqft",31-Dec-69,$0 ,37.36257,-121.96553,CA,Single-Family Home,761111,,,,48,35,For Sale,SANTA CLARA
95054,2338 Sawyer Ct,3,4,Santa Clara,"1,850 sqft",31-Dec-69,$0 ,37.39515,-121.96572,CA,Single-Family Home,929000,,,,46,37,For Sale,SANTA CLARA
95054,1179 Doyle Cir,4,4,Santa Clara,"2,408 sqft",31-Dec-69,$0 ,37.397003,-121.95443,CA,Single-Family Home,1395000,,,,55,,For Sale,SANTA CLARA
95051,875 Bing Dr,,,Santa Clara,"3,594 sqft",31-Dec-69,$0 ,37.340572,-121.99252,CA,Multi-Family Home,1288000,,,,66,34,For Sale,SANTA CLARA
95051,468 Montclair Dr,2,5,Santa Clara,"1,802 sqft",31-Dec-69,$0 ,37.33091,-121.99917,CA,Single-Family Home,995000,,,,48,37,For Sale,SANTA CLARA
95050,1525 Alviso St,,,Santa Clara,"6,500 sqft",31-Dec-69,$0 ,37.356182,-121.944016,CA,Income/Investment,8000000,,,,54,53,For Sale,SANTA CLARA
95051,1400 Bowe Ave #509,2,2,Santa Clara,"1,062 sqft",31-Dec-69,$0 ,37.35004,-121.97474,CA,Condo,454900,,,,63,46,For Sale,SANTA CLARA
95051,895 Quince Ave #15,3,3,Santa Clara,,31-Dec-69,$0 ,37.341225,-121.98608,CA,Apt/Condo/Twnhm,599000,,,,62,35,For Sale,SANTA CLARA
95054,3901 Lick Mill Blvd #242,2,2,Santa Clara,"1,192 sqft",31-Dec-69,$0 ,37.39643,-121.94343,CA,Condo,549000,,,,57,48,For Sale,SANTA CLARA
95050,2221 Park Ave,1,2,Santa Clara,"1,008 sqft",31-Dec-69,$0 ,37.34136,-121.93338,CA,Single-Family Home,629000,,,,65,45,For Sale,SANTA CLARA
95054,4288 Macedo Pl,7,3,Santa Clara,"1,199 sqft",31-Dec-69,$0 ,37.39429,-121.95947,CA,Single-Family Home,599950,,,,52,,For Sale,SANTA CLARA
95051,2578 Knightsbridge Ln,3,3,Santa Clara,"1,369 sqft",31-Dec-69,$0 ,37.367195,-121.972534,CA,Townhome,549000,,,,42,35,For Sale,SANTA CLARA
95051,3056 Forbes Ave,2,3,Santa Clara,"1,200 sqft",31-Dec-69,$0 ,37.33355,-121.984314,CA,Single-Family Home,699950,,,,51,35,For Sale,SANTA CLARA
95051,1245 Blackfield Dr,2,3,Santa Clara,"1,494 sqft",31-Dec-69,$0 ,37.34836,-121.96898,CA,Single-Family Home,749000,,,,68,45,For Sale,SANTA CLARA
95054,4305 Watson Cir,4,3,Santa Clara,"1,657 sqft",31-Dec-69,$0 ,37.399498,-121.94789,CA,Single-Family Home,968888,,,,52,46,For Sale,SANTA CLARA
95050,2356 Fatjo Pl,2,3,Santa Clara,"1,700 sqft",31-Dec-69,$0 ,37.35496,-121.966774,CA,Single-Family Home,848000,,,,68,46,For Sale,SANTA CLARA
95054,3651 Beth Ct,2,3,Santa Clara,"1,097 sqft",31-Dec-69,$0 ,37.38681,-121.95088,CA,Single-Family Home,650000,,,,51,29,For Sale,SANTA CLARA
