zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95060,130 Brook Knoll Dr,3,4,Scotts Valley,"2,841 sqft",31-Dec-69,$0 ,37.01805,-122.03046,CA,Single-Family Home,975000,,,,26,,For Sale,SANTA CRUZ
95066,1920 Lockhart Gulch Rd,,,Scotts Valley,,31-Dec-69,$0 ,37.074715,-122.031075,CA,Lot/Land,140000,,,,3,,For Sale,SANTA CRUZ
95060,101 Endlich Dr,3,3,Scotts Valley,"3,061 sqft",31-Dec-69,$0 ,37.021393,-122.00906,CA,Single-Family Home,999000,,,,14,,For Sale,SANTA CRUZ
95066,552 Bean Creek Rd #9,3,3,Scotts Valley,"2,300 sqft",31-Dec-69,$0 ,37.05351,-122.02612,CA,Mobile/Manufactured,465000,,,,55,,For Sale,SANTA CRUZ
95066,4534 Fern Dr,1,2,Scotts Valley,"1,529 sqft",31-Dec-69,$0 ,37.11316,-121.986244,CA,Single-Family Home,549950,,,,0,,For Sale,SANTA CRUZ
95066,260 Blair Ranch Rd,2,3,Scotts Valley,"1,916 sqft",31-Dec-69,$0 ,37.051167,-121.99967,CA,Single-Family Home,1099000,,,,32,,For Sale,SANTA CRUZ
95066,522 Bean Creek Rd #77,,2,Scotts Valley,"1,420 sqft",31-Dec-69,$0 ,37.051575,-122.02465,CA,Mobile/Manufactured,395000,,,,77,,For Sale,SANTA CRUZ
95060,341 Henry Cowell Dr,,,Scotts Valley,,31-Dec-69,$0 ,37.008762,-122.03757,CA,Lot/Land,479000,,,,26,0,For Sale,SANTA CRUZ
95066,268 Bluebonnet Ln #131,2,2,Scotts Valley,"1,166 sqft",31-Dec-69,$0 ,37.050327,-122.02708,CA,Condo,489000,,,,85,,For Sale,SANTA CRUZ
95066,552 Bean Creek Rd #152,2,3,Scotts Valley,"1,560 sqft",31-Dec-69,$0 ,37.05351,-122.02612,CA,Mobile/Manufactured,425000,,,,74,,For Sale,SANTA CRUZ
95066,552 Bean Creek Rd #178,3,3,Scotts Valley,"1,800 sqft",31-Dec-69,$0 ,37.05351,-122.02612,CA,Mobile/Manufactured,419000,,,,77,,For Sale,SANTA CRUZ
95066,552 Bean Creek Rd #118,2,2,Scotts Valley,"1,460 sqft",31-Dec-69,$0 ,37.05351,-122.02612,CA,Mobile/Manufactured,379000,,,,77,,For Sale,SANTA CRUZ
95066,552 Bean Creek Rd #175,2,2,Scotts Valley,"1,440 sqft",31-Dec-69,$0 ,37.05351,-122.02612,CA,Mobile/Manufactured,349000,,,,80,,For Sale,SANTA CRUZ
95066,940 Hawks Hill Rd,4,3,Scotts Valley,"3,647 sqft",31-Dec-69,$0 ,37.096832,-122.006454,CA,Single-Family Home,1285000,,,,0,,For Sale,SANTA CRUZ
95066,1323 Weston Rd,2.5,4,Scotts Valley,"3,058 sqft",31-Dec-69,$0 ,37.092648,-122.0181,CA,Single-Family Home,1187000,,,,2,,For Sale,SANTA CRUZ
95066,Weston Rd,,,Scotts Valley,,31-Dec-69,$0 ,37.0924,-122.007193,CA,Lot/Land,375000,,,,,,For Sale,SANTA CRUZ
95066,13 Locke Way,4,5,Scotts Valley,"2,772 sqft",31-Dec-69,$0 ,37.046432,-122.03763,CA,Single-Family Home,999000,,,,69,,For Sale,SANTA CRUZ
