zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95066,19 Blake Ln #C,2,4,Scotts Valley,"1,750 sqft",7-Mar-14,"$645,000 ",37.047066,-122.02179,CA,Multi-Family,645000,"$714,000 ",,,,,Sold,SANTA CRUZ
95066,268 Bluebonnet Ln #131,2,2,Scotts Valley,"1,166 sqft",3-Mar-14,"$483,000 ",37.050316,-122.02647,CA,Condo,483000,"$449,000 ",,,,,Sold,SANTA CRUZ
95066,213 Navarra Dr,2.5,3,Scotts Valley,"2,192 sqft",28-Feb-14,"$740,000 ",37.062553,-121.99934,CA,Single-Family Home,740000,"$788,000 ",,,,,Sold,SANTA CRUZ
95066,552 Bean Creek Rd #38,2,2,Scotts Valley,"1,344 sqft",28-Feb-14,"$420,000 ",37.05351,-122.02612,CA,Mobile/Manufactured,420000,,,,,,Sold,SANTA CRUZ
95066,552 Bean Creek Rd #14,2,2,Scotts Valley,"1,372 sqft",27-Feb-14,"$325,000 ",37.05351,-122.02612,CA,Mobile/Manufactured,325000,,,,,,Sold,SANTA CRUZ
95066,307 Lockewood Ln,2,3,Scotts Valley,"1,255 sqft",25-Feb-14,"$556,500 ",37.046593,-122.03502,CA,Single-Family Home,556500,"$690,000 ",,,,,Sold,SANTA CRUZ
95066,100 Christel Oaks Dr,3,3,Scotts Valley,"2,108 sqft",21-Feb-14,"$649,000 ",37.047436,-122.02396,CA,Single-Family Home,649000,"$803,000 ",,,,,Sold,SANTA CRUZ
95066,194 Caseta Way,2,3,Scotts Valley,"1,463 sqft",21-Feb-14,"$710,000 ",37.0386,-122.04286,CA,Single-Family Home,710000,"$752,000 ",,,,,Sold,SANTA CRUZ
95066,5525 Scotts Valley Dr #19,1.5,2,Scotts Valley,"1,334 sqft",14-Feb-14,"$440,000 ",37.06117,-122.00859,CA,Townhouse,440000,"$413,000 ",,,,,Sold,SANTA CRUZ
95066,106 Bluebonnet Ln #3,2.5,,Scotts Valley,"1,397 sqft",12-Feb-14,"$500,000 ",37.050182,-122.02594,CA,Townhouse,500000,"$545,000 ",,,,,Sold,SANTA CRUZ
