zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94080,1347 Isabelle Cir,3,3,South San Francisco,"1,460 sqft",31-Dec-69,$0 ,37.66621,-122.44633,CA,Condo,599000,,,,65,,For Sale,SAN MATEO
94080,3865 Carter Dr #302,2,2,South San Francisco,"1,033 sqft",31-Dec-69,$0 ,37.649315,-122.46936,CA,Condo,482885,,,,68,,For Sale,SAN MATEO
94080,62 Mahogany Dr,3,4,South San Francisco,"2,150 sqft",31-Dec-69,$0 ,37.653614,-122.422386,CA,Single-Family Home,799000,,,,77,,For Sale,SAN MATEO
94080,3721 Carter Dr #1204,2,2,South San Francisco,"1,060 sqft",31-Dec-69,$0 ,37.644985,-122.46818,CA,Condo,538000,,,,55,,For Sale,SAN MATEO
94080,71 Calvert Ave,3,4,South San Francisco,"2,210 sqft",31-Dec-69,$0 ,37.666584,-122.4568,CA,Single-Family Home,350000,,,,57,,For Sale,SAN MATEO
94080,1 Mandalay Pl #908,1,1,South San Francisco,941 sqft,31-Dec-69,$0 ,37.666145,-122.40382,CA,Condo,465000,,,,49,,For Sale,SAN MATEO
94080,310 Hazelwood Dr,2,5,South San Francisco,"1,630 sqft",31-Dec-69,$0 ,37.639378,-122.43263,CA,Single-Family Home,799000,,,,52,,For Sale,SAN MATEO
94080,12 Sonora Ave,2,3,South San Francisco,"1,383 sqft",31-Dec-69,$0 ,37.645737,-122.42383,CA,Single-Family Home,648888,,,,78,,For Sale,SAN MATEO
94080,1 Mandalay Pl,2,2,South San Francisco,,31-Dec-69,$0 ,37.666145,-122.40382,CA,Condo,695000,,,,49,,For Sale,SAN MATEO
94080,1400 El Camino Real #104,2,2,South San Francisco,"1,190 sqft",31-Dec-69,$0 ,37.661793,-122.44202,CA,Condo,498888,,,,54,,For Sale,SAN MATEO
94080,656 Del Monte Ave,2,3,South San Francisco,"1,120 sqft",31-Dec-69,$0 ,37.660538,-122.45014,CA,Single-Family Home,685000,,,,58,,For Sale,SAN MATEO
94080,929 Newman Dr,1,3,South San Francisco,"1,000 sqft",31-Dec-69,$0 ,37.664238,-122.458,CA,Single-Family Home,629000,,,,58,,For Sale,SAN MATEO
94080,779 Park Way,2,3,South San Francisco,"1,650 sqft",31-Dec-69,$0 ,37.662277,-122.42447,CA,Single-Family Home,675000,,,,54,,For Sale,SAN MATEO
94080,716 Spruce Ave,1,3,South San Francisco,"2,060 sqft",31-Dec-69,$0 ,37.66169,-122.41104,CA,Single-Family Home,800000,,,,74,,For Sale,SAN MATEO
94080,000 Diamond Ave,,,South San Francisco,,31-Dec-69,$0 ,37.661444,-122.413722,CA,Lot/Land,1500000,,,,,,For Sale,SAN MATEO
94080,314 Northwood Dr,2,3,South San Francisco,"1,270 sqft",31-Dec-69,$0 ,37.639782,-122.433334,CA,Single-Family Home,659500,,,,55,,For Sale,SAN MATEO
94080,26 Viola St,3,4,South San Francisco,"2,440 sqft",31-Dec-69,$0 ,37.668064,-122.40967,CA,Single-Family Home,1099000,,,,40,,For Sale,SAN MATEO
94080,3737 Radburn Dr,1,2,South San Francisco,858 sqft,31-Dec-69,$0 ,37.647808,-122.456505,CA,Condo,420000,,,,74,,For Sale,SAN MATEO
94080,15200190 Apn,,,South San Francisco,,31-Dec-69,$0 ,37.6588,-122.423,CA,Lot/Land,1900000,,,,86,,For Sale,SAN MATEO
94080,240 Willow Ave #624,1,1,South San Francisco,750 sqft,31-Dec-69,$0 ,37.660904,-122.432144,CA,Condo,249000,,,,62,,For Sale,SAN MATEO
94080,126 S Magnolia Ave,1,3,South San Francisco,"1,150 sqft",31-Dec-69,$0 ,37.64987,-122.422386,CA,Single-Family Home,575000,,,,69,,For Sale,SAN MATEO
