zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94080,135 Lucca Dr,3,4,South San Francisco,"2,240 sqft",20-Feb-14,"$880,000 ",37.666767,-122.43037,CA,Single-Family Home,880000,"$1,070,000 ",,,,,Sold,SAN MATEO
94080,469 Baden Ave,4,7,South San Francisco,"3,788 sqft",19-Feb-14,"$770,000 ",37.655113,-122.41593,CA,Unknown,770000,,,,,,Sold,SAN MATEO
94080,3721 Carter Dr #1303,2,2,South San Francisco,"1,060 sqft",19-Feb-14,"$525,000 ",37.644985,-122.46818,CA,Condo,525000,"$525,000 ",,,,,Sold,SAN MATEO
94080,126 Duval Dr,1,3,South San Francisco,"1,050 sqft",19-Feb-14,"$620,000 ",37.66629,-122.45824,CA,Single-Family Home,620000,"$721,000 ",,,,,Sold,SAN MATEO
94080,241 A St,1,2,South San Francisco,"1,210 sqft",19-Feb-14,"$588,000 ",37.650986,-122.42961,CA,Single-Family Home,588000,"$680,000 ",,,,,Sold,SAN MATEO
94080,432 Lux Ave,1,2,South San Francisco,"1,190 sqft",19-Feb-14,"$515,000 ",37.658005,-122.41311,CA,Single-Family Home,515000,"$672,000 ",,,,,Sold,SAN MATEO
94080,872 Stonegate Dr,2.5,3,South San Francisco,"1,454 sqft",19-Feb-14,"$536,000 ",37.66625,-122.42651,CA,Condo,536000,"$625,000 ",,,,,Sold,SAN MATEO
94080,4 Felton Ave,1,3,South San Francisco,990 sqft,18-Feb-14,"$620,000 ",37.668556,-122.45272,CA,Single-Family Home,620000,"$665,000 ",,,,,Sold,SAN MATEO
94080,2260 Gellert Blvd #1212,2,3,South San Francisco,"1,290 sqft",18-Feb-14,"$580,000 ",37.6451,-122.45401,CA,Condo,580000,"$713,000 ",,,,,Sold,SAN MATEO
94080,232 Clifden Dr,1,2,South San Francisco,870 sqft,14-Feb-14,"$560,000 ",37.65893,-122.45908,CA,Single-Family Home,560000,"$620,000 ",,,,,Sold,SAN MATEO
94080,610 Mayfair Ave,1,3,South San Francisco,"1,000 sqft",14-Feb-14,"$615,000 ",37.652126,-122.42238,CA,Single-Family Home,615000,"$670,000 ",,,,,Sold,SAN MATEO
94080,140 S Magnolia Ave,1,3,South San Francisco,"1,150 sqft",14-Feb-14,"$600,000 ",37.648922,-122.422714,CA,Single-Family Home,600000,"$689,000 ",,,,,Sold,SAN MATEO
94080,843 Hemlock Ave,1,3,South San Francisco,940 sqft,13-Feb-14,"$689,000 ",37.668396,-122.420555,CA,Single-Family Home,689000,"$633,000 ",,,,,Sold,SAN MATEO
94080,2400 Donegal Ave,2,3,South San Francisco,"1,200 sqft",11-Feb-14,"$564,000 ",37.639935,-122.45256,CA,Single-Family Home,564000,"$693,000 ",,,,,Sold,SAN MATEO
