zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95376,951 N Hickory Ave,2,3,Tracy,"1,132 sqft",31-Dec-69,$0 ,37.73764,-121.44378,CA,Single-Family Home,70000,,,,60,,For Sale,SAN JOAQUIN
95377,2128 Babcock Ln,4,4,Tracy,"2,746 sqft",31-Dec-69,$0 ,37.728977,-121.455,CA,Single-Family Home,450000,,,,28,,For Sale,SAN JOAQUIN
95376,250 E Clover Rd,2.5,4,Tracy,,31-Dec-69,$0 ,37.761375,-121.42222,CA,Single-Family Home,269000,,,,46,,For Sale,SAN JOAQUIN
95376,2081 Garrison Ln,2,4,Tracy,"2,223 sqft",31-Dec-69,$0 ,37.71608,-121.43868,CA,Single-Family Home,345888,,,,52,,For Sale,SAN JOAQUIN
95377,2115 Foothill Ranch Dr,3,4,Tracy,"2,144 sqft",31-Dec-69,$0 ,37.75092,-121.454865,CA,Single-Family Home,360000,,,,43,,For Sale,SAN JOAQUIN
95376,2929 N Macarthur Dr #110,2,3,Tracy,"1,200 sqft",31-Dec-69,$0 ,37.757008,-121.41616,CA,Mobile/Manufactured,79000,,,,37,,For Sale,SAN JOAQUIN
95377,2064 Thelma Loop,3,4,Tracy,"2,158 sqft",31-Dec-69,$0 ,37.74594,-121.473404,CA,Single-Family Home,329999,,,,32,,For Sale,SAN JOAQUIN
95377,400 Glenbriar Cir,4,4,Tracy,"2,296 sqft",31-Dec-69,$0 ,37.70467,-121.42527,CA,Single-Family Home,435000,,,,29,,For Sale,SAN JOAQUIN
95391,57 E Heritage Dr,3,4,Tracy,"3,015 sqft",31-Dec-69,$0 ,37.77096,-121.5451,CA,Single-Family Home,498000,,,,14,,For Sale,SAN JOAQUIN
95376,2196 Wynngate Ct #47,4,3,Tracy,"1,368 sqft",31-Dec-69,$0 ,37.752216,-121.43826,CA,Single-Family Home,225000,,,,62,,For Sale,SAN JOAQUIN
95304,30000 Kasson Rd #76,1,1,Tracy,936 sqft,31-Dec-69,$0 ,37.68106,-121.27053,CA,Single-Family Home,120000,,,,0,,For Sale,SAN JOAQUIN
95391,845 S Amor St,4,5,Tracy,"3,775 sqft",31-Dec-69,$0 ,37.769695,-121.55653,CA,Single-Family Home,625000,,,,6,,For Sale,SAN JOAQUIN
95304,27277 S Leeward Way,4,5,Tracy,"4,800 sqft",31-Dec-69,$0 ,37.708176,-121.404366,CA,Single-Family Home,999950,,,,9,,For Sale,SAN JOAQUIN
95376,11753 Mountain View Rd,5,6,Tracy,"3,037 sqft",31-Dec-69,$0 ,37.720608,-121.44975,CA,Single-Family Home,599999,,,,25,,For Sale,SAN JOAQUIN
95376,811 Plantation Dr,2,4,Tracy,"1,830 sqft",31-Dec-69,$0 ,37.755653,-121.437164,CA,Single-Family Home,350000,,,,65,,For Sale,SAN JOAQUIN
95377,34521 Bernard Rd,3,3,Tracy,"1,830 sqft",31-Dec-69,$0 ,37.637848,-121.40612,CA,Single-Family Home,559900,,,,0,,For Sale,SAN JOAQUIN
95376,1051 Renown Dr,3,5,Tracy,"2,572 sqft",31-Dec-69,$0 ,37.729992,-121.438805,CA,Single-Family Home,369000,,,,55,,For Sale,SAN JOAQUIN
95304,29181 S Lehman Rd,4,4,Tracy,"3,616 sqft",31-Dec-69,$0 ,37.689316,-121.37265,CA,Single-Family Home,1300000,,,,0,,For Sale,SAN JOAQUIN
95391,15613 S Kelso Rd,3,3,Tracy,,31-Dec-69,$0 ,37.815025,-121.55328,CA,Single-Family Home,549000,,,,0,,For Sale,SAN JOAQUIN
95304,7903 W Cabe Rd,2,4,Tracy,"1,472 sqft",31-Dec-69,$0 ,37.736336,-121.403145,CA,Single-Family Home,279500,,,,23,,For Sale,SAN JOAQUIN
95377,1546 Arrigotti Ln,2,4,Tracy,"1,850 sqft",31-Dec-69,$0 ,37.745655,-121.45904,CA,Single-Family Home,360000,,,,35,,For Sale,SAN JOAQUIN
95304,1052 Tulloch Dr,3,5,Tracy,"3,101 sqft",31-Dec-69,$0 ,37.71738,-121.40893,CA,Single-Family Home,454900,,,,14,,For Sale,SAN JOAQUIN
95377,2415 Abbott Ct,3,5,Tracy,"2,461 sqft",31-Dec-69,$0 ,37.726944,-121.459526,CA,Single-Family Home,381900,,,,20,,For Sale,SAN JOAQUIN
95376,1586 Hummingbird Way,3,4,Tracy,"2,486 sqft",31-Dec-69,$0 ,37.71672,-121.4448,CA,Single-Family Home,479355,,,,42,,For Sale,SAN JOAQUIN
95304,28128 Greenwood Way,2,3,Tracy,"1,894 sqft",31-Dec-69,$0 ,37.699734,-121.40919,CA,Single-Family Home,475000,,,,22,,For Sale,SAN JOAQUIN
95304,21250 S Corral Hollow Rd,,4,Tracy,"1,899 sqft",31-Dec-69,$0 ,37.766167,-121.452614,CA,Single-Family Home,518888,,,,37,,For Sale,SAN JOAQUIN
95377,273 Lasata Dr,3,5,Tracy,"2,555 sqft",31-Dec-69,$0 ,37.701958,-121.4298,CA,Single-Family Home,449900,,,,25,,For Sale,SAN JOAQUIN
95376,224 Granada Way,2,3,Tracy,"1,988 sqft",31-Dec-69,$0 ,37.756664,-121.421844,CA,Single-Family Home,299000,,,,52,,For Sale,SAN JOAQUIN
95377,1940 Bridle Creek Cir,3,3,Tracy,"1,980 sqft",31-Dec-69,$0 ,37.748974,-121.46229,CA,Single-Family Home,305000,,,,52,,For Sale,SAN JOAQUIN
95376,855 Almond Blossom Dr,3,3,Tracy,"1,308 sqft",31-Dec-69,$0 ,37.72407,-121.42066,CA,Single-Family Home,280000,,,,34,,For Sale,SAN JOAQUIN
95377,S Hansen Rd,,,Tracy,,31-Dec-69,$0 ,37.7188,-121.4659,CA,Lot/Land,695000,,,,14,,For Sale,SAN JOAQUIN
95376,2346 Holly Dr,,,Tracy,,31-Dec-69,$0 ,37.75362,-121.42551,CA,Income/Investment,450000,,,,65,,For Sale,SAN JOAQUIN
95304,6712 W Linne Rd,1,1,Tracy,"1,000 sqft",31-Dec-69,$0 ,37.695244,-121.38814,CA,Single-Family Home,501000,,,,9,,For Sale,SAN JOAQUIN
95376,270 E Mount Diablo Ave,2.5,3,Tracy,"1,794 sqft",31-Dec-69,$0 ,37.72899,-121.42168,CA,Single-Family Home,335000,,,,43,,For Sale,SAN JOAQUIN
95376,1821 Kern St,3,4,Tracy,"2,813 sqft",31-Dec-69,$0 ,37.717155,-121.43798,CA,Single-Family Home,459950,,,,54,,For Sale,SAN JOAQUIN
95376,361 E Mount Diablo Ave,3,3,Tracy,"1,348 sqft",31-Dec-69,$0 ,37.72951,-121.419975,CA,Single-Family Home,269000,,,,40,,For Sale,SAN JOAQUIN
95377,3970 Maison Ct,3,5,Tracy,"2,696 sqft",31-Dec-69,$0 ,37.702564,-121.44952,CA,Single-Family Home,427000,,,,18,,For Sale,SAN JOAQUIN
95391,15559 S Kelso Rd,2,4,Tracy,"2,277 sqft",31-Dec-69,$0 ,37.81502,-121.55445,CA,Single-Family Home,539000,,,,0,,For Sale,SAN JOAQUIN
95377,775 Mount Rushmore Ave,2.5,4,Tracy,"2,561 sqft",31-Dec-69,$0 ,37.736233,-121.45622,CA,Single-Family Home,440000,,,,46,,For Sale,SAN JOAQUIN
95377,2870 Hidden Valley Ct,3,3,Tracy,"2,836 sqft",31-Dec-69,$0 ,37.709618,-121.41955,CA,Single-Family Home,475000,,,,23,,For Sale,SAN JOAQUIN
95376,820 Alpina Ct,3,5,Tracy,"2,662 sqft",31-Dec-69,$0 ,37.714855,-121.43686,CA,Single-Family Home,409900,,,,62,,For Sale,SAN JOAQUIN
95376,1030 Sultana Dr,2,3,Tracy,"1,167 sqft",31-Dec-69,$0 ,37.722847,-121.42106,CA,Single-Family Home,191000,,,,26,,For Sale,SAN JOAQUIN
95376,760 Teton Ln,2,3,Tracy,,31-Dec-69,$0 ,37.724445,-121.446236,CA,Single-Family Home,299900,,,,35,,For Sale,SAN JOAQUIN
95376,1875 Harvest Landing Ln,2.5,3,Tracy,"1,902 sqft",31-Dec-69,$0 ,37.729446,-121.450356,CA,Single-Family Home,339000,,,,34,,For Sale,SAN JOAQUIN
95391,30 W Clarissa Ln,2.5,3,Tracy,"1,460 sqft",31-Dec-69,$0 ,37.77815,-121.54417,CA,Condo,300000,,,,23,,For Sale,SAN JOAQUIN
95376,1421 Harvest Ln,3,5,Tracy,"2,381 sqft",31-Dec-69,$0 ,37.730667,-121.44201,CA,Single-Family Home,390000,,,,49,,For Sale,SAN JOAQUIN
95376,2210 Tahoe Cir,3,4,Tracy,"1,840 sqft",31-Dec-69,$0 ,37.719395,-121.43511,CA,Single-Family Home,369500,,,,48,,For Sale,SAN JOAQUIN
95376,531 W Deerwood Ln,2,4,Tracy,"1,312 sqft",31-Dec-69,$0 ,37.71776,-121.43335,CA,Single-Family Home,265000,,,,52,,For Sale,SAN JOAQUIN
95377,2132 Misquez Ln,3,4,Tracy,"2,421 sqft",31-Dec-69,$0 ,37.751205,-121.45467,CA,Single-Family Home,410888,,,,43,,For Sale,SAN JOAQUIN
95376,730 Centre Court Dr,2,4,Tracy,"2,729 sqft",31-Dec-69,$0 ,37.733437,-121.43587,CA,Single-Family Home,389888,,,,65,,For Sale,SAN JOAQUIN
95376,28 Regina Dr,2,4,Tracy,"1,210 sqft",31-Dec-69,$0 ,37.718052,-121.42736,CA,Single-Family Home,299950,,,,37,,For Sale,SAN JOAQUIN
95376,3381 Cheryl Ct,2.5,4,Tracy,"1,817 sqft",31-Dec-69,$0 ,37.761295,-121.415535,CA,Single-Family Home,342500,,,,37,,For Sale,SAN JOAQUIN
95377,2264 Clemente Ln,3,3,Tracy,"2,355 sqft",31-Dec-69,$0 ,37.727203,-121.45766,CA,Single-Family Home,390000,,,,22,,For Sale,SAN JOAQUIN
95376,33 W Beverly Pl,2,3,Tracy,"1,672 sqft",31-Dec-69,$0 ,37.745205,-121.42662,CA,Single-Family Home,255000,,,,80,,For Sale,SAN JOAQUIN
95376,1557 Parker Ave,2,2,Tracy,982 sqft,31-Dec-69,$0 ,37.746014,-121.43017,CA,Single-Family Home,249000,,,,68,,For Sale,SAN JOAQUIN
