zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
95376,358 W Emerson Ave,1,2,Tracy,795 sqft,10-Mar-14,"$195,000 ",37.748543,-121.43113,CA,Single-Family Home,195000,"$208,000 ",,,,,Sold,SAN JOAQUIN
95376,1401 W 12th St,4,5,Tracy,"2,289 sqft",7-Mar-14,"$315,000 ",37.741146,-121.44276,CA,Multi-Family,315000,"$280,000 ",,,,,Sold,SAN JOAQUIN
95304,1835 Bankston Dr,3,5,Tracy,"3,060 sqft",7-Mar-14,"$413,000 ",37.717262,-121.40796,CA,Single-Family Home,413000,"$462,000 ",,,,,Sold,SAN JOAQUIN
95377,4467 Twin Creeks Ln,2.5,5,Tracy,"2,311 sqft",7-Mar-14,"$400,000 ",37.699097,-121.43844,CA,Single-Family Home,400000,"$412,000 ",,,,,Sold,SAN JOAQUIN
95376,1501 Griffith Pl,2,4,Tracy,"1,527 sqft",7-Mar-14,"$304,000 ",37.74446,-121.44589,CA,Single-Family Home,304000,"$284,000 ",,,,,Sold,SAN JOAQUIN
95376,1415 W 12th St,4,4,Tracy,"2,039 sqft",7-Mar-14,"$242,500 ",37.741123,-121.442986,CA,Multi-Family,242500,"$254,000 ",,,,,Sold,SAN JOAQUIN
95377,2161 Bridle Creek Cir,3,4,Tracy,"2,312 sqft",7-Mar-14,"$380,000 ",37.749207,-121.464355,CA,Single-Family Home,380000,"$419,000 ",,,,,Sold,SAN JOAQUIN
95376,1811 Mcpeak Ct,2,4,Tracy,"1,422 sqft",7-Mar-14,"$333,000 ",37.751076,-121.44959,CA,Single-Family Home,333000,"$310,000 ",,,,,Sold,SAN JOAQUIN
95304,798 Harold Smith Dr,2.5,4,Tracy,"1,902 sqft",7-Mar-14,"$330,000 ",37.710964,-121.412994,CA,Single-Family Home,330000,"$399,000 ",,,,,Sold,SAN JOAQUIN
95304,630 Yosemite Dr,2.5,3,Tracy,"2,240 sqft",6-Mar-14,"$452,500 ",37.72058,-121.41579,CA,Single-Family Home,452500,"$477,000 ",,,,,Sold,SAN JOAQUIN
95376,1541 Teakwood Way,2.5,3,Tracy,"1,453 sqft",6-Mar-14,"$328,000 ",37.745117,-121.45187,CA,Single-Family Home,328000,"$352,000 ",,,,,Sold,SAN JOAQUIN
95376,1573 Shadowood Ct,2.5,3,Tracy,"1,516 sqft",6-Mar-14,"$310,000 ",37.74544,-121.45265,CA,Single-Family Home,310000,"$338,000 ",,,,,Sold,SAN JOAQUIN
95377,2864 Brantford Ct,2.5,4,Tracy,"1,705 sqft",5-Mar-14,"$330,000 ",37.70975,-121.43761,CA,Single-Family Home,330000,"$391,000 ",,,,,Sold,SAN JOAQUIN
95376,420 Northgate Ct,2.5,3,Tracy,"1,878 sqft",5-Mar-14,"$287,000 ",37.759792,-121.43153,CA,Single-Family Home,287000,"$334,000 ",,,,,Sold,SAN JOAQUIN
95304,1842 Placid Dr,2.5,4,Tracy,"2,408 sqft",5-Mar-14,"$412,000 ",37.71714,-121.414406,CA,Single-Family Home,412000,"$464,000 ",,,,,Sold,SAN JOAQUIN
95376,150 Tioga Way,2,3,Tracy,"1,167 sqft",4-Mar-14,"$280,000 ",37.721363,-121.42281,CA,Single-Family Home,280000,"$286,000 ",,,,,Sold,SAN JOAQUIN
95376,1201 Parkside Dr,2.5,4,Tracy,"1,945 sqft",4-Mar-14,"$380,000 ",37.723244,-121.44049,CA,Single-Family Home,380000,"$389,000 ",,,,,Sold,SAN JOAQUIN
95376,142 E Beverly Pl,2,3,Tracy,"1,711 sqft",3-Mar-14,"$255,000 ",37.744976,-121.4237,CA,Single-Family Home,255000,"$275,000 ",,,,,Sold,SAN JOAQUIN
95377,1950 Notre Dame Ct,2.5,4,Tracy,"2,410 sqft",3-Mar-14,"$369,000 ",37.7026,-121.45154,CA,Single-Family Home,369000,"$406,000 ",,,,,Sold,SAN JOAQUIN
95304,4189 Rocky Point Ct,3,4,Tracy,"2,356 sqft",3-Mar-14,"$380,000 ",37.752537,-121.3581,CA,Single-Family Home,380000,"$514,000 ",,,,,Sold,SAN JOAQUIN
95377,556 Park Haven Dr,2.5,4,Tracy,"2,226 sqft",28-Feb-14,"$180,000 ",37.72437,-121.467896,CA,Single-Family Home,180000,"$406,000 ",,,,,Sold,SAN JOAQUIN
95376,160 Club House Way,2,4,Tracy,"1,806 sqft",28-Feb-14,"$336,000 ",37.731762,-121.439224,CA,Single-Family Home,336000,"$362,000 ",,,,,Sold,SAN JOAQUIN
95376,1740 Birchwood Ln,2.5,4,Tracy,"2,498 sqft",28-Feb-14,"$405,000 ",37.72974,-121.44802,CA,Single-Family Home,405000,"$407,000 ",,,,,Sold,SAN JOAQUIN
95376,245 San Simeon Way,3,4,Tracy,"2,373 sqft",27-Feb-14,"$380,000 ",37.73014,-121.42214,CA,Single-Family Home,380000,"$397,000 ",,,,,Sold,SAN JOAQUIN
95304,1991 Superior Ct,3,4,Tracy,"3,054 sqft",27-Feb-14,"$488,000 ",37.71598,-121.416,CA,Single-Family Home,488000,"$546,000 ",,,,,Sold,SAN JOAQUIN
95304,1801 Mckenna Dr,2.5,4,Tracy,"2,857 sqft",26-Feb-14,"$242,000 ",37.717575,-121.41003,CA,Single-Family Home,242000,"$458,000 ",,,,,Sold,SAN JOAQUIN
