Zipcode,Address,NoOfGoodRestaurants, NoOfCuisine,FitnessCenter, Theaters,Grocery ,Preschool, Elementary, High, University, Other Schools, NightClub, Hospital, Rent
95050-3841,1428 Reeve St,7,13,4,19,16,11,0,3,0,11,4,2,1375
95050-3841,1378 Reeve St,9,14,5,19,15,10,0,2,0,10,4,2,1225
95050-3841,1358 Reeve St,9,14,5,19,15,10,0,2,0,10,4,2,1225
95050-4248,1678 Monroe St,8,13,5,19,14,9,0,2,0,9,4,2,1395
95050-3833,1704 Monroe St,8,13,5,19,14,9,0,2,0,9,4,2,1395
95050-4907,775 Bellomy St,9,14,6,17,11,8,0,2,0,11,2,20,1667
95050-4366,431 El Camino Real,8,14,8,18,5,4,0,2,0,9,1,20,2200
95126-5209,1388 Dahlia Loop,10,15,6,18,4,5,0,2,0,7,2,2,2200
95126-5231,1370 Dahlia Loop,10,15,6,18,4,5,0,2,0,7,2,2,2200
95050-5410,714 Main St,8,15,6,17,10,10,0,2,0,13,4,1,2200
95054-2517,4450 Bassett St,6,14,1,14,2,2,0,0,0,10,0,2,1420
95054-2517,4440 Bassett St,5,14,1,14,2,2,0,0,0,10,0,2,1420
95054-1663,1866 Garzoni Pl,6,14,1,15,2,2,0,0,0,10,0,2,1420
95054-1703,1650 Hope Dr,6,14,2,13,3,2,0,0,0,8,0,2,2020
95051-2204,3333 Cabrillo Ave,8,9,3,17,10,10,0,2,0,8,2,3,1750
95051-2816,1655 Pomeroy Ave,9,7,5,17,9,10,0,2,0,8,2,4,1750
95051-3028,1726 Ravizza Ave,4,8,6,14,5,13,0,2,0,9,2,4,1750
95051-0911,2601 Cortez Dr,1,5,6,16,1,10,0,0,0,7,1,1,1750
95051-1242,2448 Rockridge Way,1,9,4,10,6,9,0,0,0,7,1,7,1750
94040-2624,991 Boranda Ave,8,13,13,15,12,13,0,2,0,15,4,20,1525
94040-3142,1005 Boranda Ave,8,13,14,15,12,13,0,2,0,15,4,20,1525
94040-3107,1021 Bonita Ave,9,13,14,15,13,13,0,2,0,15,4,20,1525
94040-2646,981 Bonita Ave,9,13,14,15,13,13,0,2,0,15,4,20,1850
94041-2119,288 Church St,8,16,12,14,12,12,0,1,0,12,4,10,1750
94041-2314,756 Calderon Ave,9,15,12,13,11,11,0,1,0,10,4,12,1750
94041-2128,753 Ehrhorn Ave,8,14,12,14,12,14,0,2,0,15,4,16,1385
94041-2227,23 Mercy St,10,13,7,15,11,12,0,1,0,9,3,12,1385
94041-1405,210 Calderon Ave,8,14,11,13,11,13,0,1,0,11,3,5,1750
94043-2409,2001 Colony St,13,14,12,16,2,5,0,1,0,5,2,2,1650
94043-1703,2071 Plymouth St,12,13,15,17,3,3,0,1,0,4,2,3,1650
94043-2438,898 N Rengstorff Ave,12,13,16,17,3,3,0,1,0,4,2,3,1650
94043-2902,658 Sierra Vista Ave,11,15,14,17,4,4,0,1,0,4,3,17,1925
95110-1502,911 Chestnut St,7,13,2,17,2,6,0,1,0,10,1,5,1150
95110-3808,1500 Technology Dr,5,15,4,7,2,3,0,0,0,3,3,20,1900
95126-1086,935 Alegre Pl,10,14,3,17,1,5,0,1,0,8,1,3,1900
95110-3808,1550 Technology Dr,5,15,5,6,2,3,0,0,0,3,3,20,1650
95111-3449,3973 7 Trees Blvd,10,9,15,14,5,4,0,1,0,3,1,6,1190
95112-5443,232 N 8th St,15,12,14,18,20,15,0,4,0,16,9,8,1345
95112-3452,179 N 9th St,14,11,14,18,20,15,0,3,0,16,8,8,1345
95113-1707,155 W Santa Clara St,10,15,17,17,19,13,0,3,0,14,10,4,1300
95113-2501,56 S 2nd St,11,16,16,17,20,14,0,4,0,14,8,5,1725
95113-2804,311 S 1st St,7,14,13,17,20,13,0,2,0,13,8,8,2095
95113-2533,88 E San Fernando St,7,14,16,16,20,12,0,3,0,14,7,8,2500
95116-1381,81 Castlebridge Dr,7,10,13,15,12,2,0,2,0,4,2,9,1395
95116-1375,62 Castlecrest Dr,8,9,13,15,11,2,0,2,0,4,2,9,1395
95116-1386,1972 Prince George Dr,7,10,13,16,12,2,0,2,0,4,2,9,1395
95116-1387,1960 Prince George Dr,7,10,13,16,13,2,0,2,0,4,2,9,1200
95117-1913,3801 Blackford Ave,6,10,2,17,12,12,0,9,0,9,2,4,1390
95117-1947,641 Rebecca Way,6,10,2,16,12,12,0,7,0,9,2,4,1390
95118,4951 Cherry Ave,3,14,4,12,11,4,0,1,0,5,1,18,1675
95138-1701,6100 Monterey Hwy,4,13,6,9,2,3,0,0,0,3,1,4,1669
95119-1818,317 Bromley Cross Dr,1,6,4,6,1,4,0,0,0,4,0,4,1669
95121-1501,2175 Aborn Rd,11,7,0,13,6,5,0,4,0,5,1,2,1827
95121-1778,3333 Shadow Park Pl,10,8,1,12,4,3,0,3,0,4,1,2,1827
95122-3139,1295 McLaughlin Ave,6,7,1,12,9,3,0,0,0,3,3,20,1300
95122-3366,1068 Summerplace Dr,7,9,3,9,1,3,0,1,0,3,0,2,1950
95122-3300,1092 Indian Summer Ct,7,9,3,9,1,3,0,1,0,3,0,3,1950
95125-3538,2095 Lincoln Ave,4,13,8,14,3,17,0,1,0,16,1,4,1295
95125-2545,1069 Hazelwood Ave,7,12,9,16,4,19,0,1,0,17,1,4,1295
95125-4037,2388 Westgate Ave,3,7,5,19,3,11,0,2,0,10,0,3,1295
95126-2644,1376 Sierra Ave,8,14,12,16,13,14,0,2,0,18,3,7,995
95126-2800,1259 Park Ave,7,13,12,16,13,14,0,2,0,18,3,7,1495
95126-2527,1438 Park Ave,9,14,12,18,12,16,0,2,0,19,3,5,1495
95126-2630,1300 The Alameda,5,14,15,17,13,13,0,3,0,16,3,5,1970
95126-3188,1017 Keeble Ct,6,14,15,17,11,10,0,3,0,13,5,3,1970
94501-3615,470 Central Ave,9,16,5,19,8,10,0,1,0,11,2,4,1100
94501-3758,544 Central Ave,9,16,7,19,10,10,0,1,0,11,2,5,1550
94501-3758,550 Central Ave,9,16,7,18,10,10,0,1,0,11,2,5,1525
94501-3758,564 Central Ave,9,16,7,19,10,10,0,1,0,11,2,5,1395
94501-3615,434 Central Ave,8,17,5,19,7,9,0,1,0,10,2,4,1499
94501-6240,2485 Shoreline Dr,17,12,7,14,6,9,0,8,0,9,3,4,1550
94501-6240,2465 Shoreline Dr,16,11,10,14,6,11,0,8,0,12,4,5,1550
94501-6226,2101 Shoreline Dr,4,16,3,17,6,7,0,1,0,8,1,5,1550
94501-5345,2650 Washington St,17,12,9,15,13,15,0,7,0,15,5,20,4500
95127-2536,14927 E Hills Dr,1,3,1,6,0,3,0,1,0,2,1,1,1200
95148-2165,2720 Reno Dr,1,4,2,5,3,6,0,0,0,3,0,1,1200
95127-3304,14440 Buckner Dr,11,8,1,8,5,1,0,1,0,2,1,2,1200
95127-2222,3854 Madeline Dr,10,10,1,14,6,6,0,0,0,6,0,5,1200
95128-4723,698 Teatree Ct,5,16,15,15,8,11,0,5,0,11,4,20,1300
95128-2006,544 Dudley Ave,6,15,11,15,5,12,0,5,0,11,4,20,1200
95128-2099,388 Santana Row,4,16,9,14,5,10,0,5,0,11,4,14,2588
95129-4424,1359 Saratoga Ave,8,16,7,10,5,8,0,0,0,7,0,2,1450
95129-4256,5104 Rhonda Dr,7,12,7,12,6,6,0,5,0,8,1,4,1450
95129-4238,5275 Forest Creek Ct,6,12,4,11,6,7,0,3,0,9,1,2,1450
95129-4460,1395 Saratoga Ave,9,13,9,13,7,6,0,2,0,7,1,3,1528
95008,4879 Campbell Ave,7,14,7,10,7,7,0,6,0,10,1,4,1495
95130-1602,4899 Campbell Ave,8,15,7,9,7,7,0,6,0,10,1,4,1495
95130-1742,4890 Hamilton Ave,6,13,7,10,7,5,0,6,0,8,1,4,1495
95130-1735,4734 Hamilton Ave,8,14,8,11,7,6,0,3,0,8,1,3,1495
95132-2277,2724 Somerset Park Cir,3,9,13,15,3,5,0,0,0,4,1,1,1650
95132-2272,2699 Somerset Park Cir,3,9,13,14,3,5,0,0,0,4,1,1,1600
95132-2271,2700 Somerset Park Cir,3,9,13,13,3,5,0,0,0,4,1,1,1575
95132-2777,1252 Sierra Village Pl,3,9,1,15,4,9,0,1,0,9,1,1,1575
95133-1516,750 N King Rd,11,8,0,10,4,1,0,1,0,1,1,7,1595
95133-0902,1686 Salamoni Ct,9,9,0,6,2,1,0,1,0,1,1,4,1595
95131-2782,1133 Waterton Ln,7,11,0,10,3,1,0,1,0,3,1,4,1595
95133-2077,648 Cedarville Ln,5,11,0,11,11,3,0,2,0,4,2,6,1595
95133-2078,598 Cedarville Ln,5,11,0,11,11,3,0,2,0,4,2,6,1595
95134-1508,1 Vista Montana,7,17,1,5,3,3,0,0,0,2,1,5,2377
95136,3980 Ellmar Oaks Dr,8,10,10,16,2,3,0,0,0,2,2,2,1599
95136-1381,383 Vista Roma Way,7,12,11,16,3,3,0,0,0,2,1,2,1804
95136-1362,380 Vista Roma Way,7,12,11,16,3,3,0,0,0,2,1,2,1799
95139-1304,181 Rawls Ct,3,11,6,9,2,3,0,0,0,4,0,3,571
95139-1511,7150 Calero Hills Ct,4,12,6,8,2,5,0,0,0,5,1,4,571
95119-1350,192 Sunwood Meadows Pl,4,12,6,8,2,5,0,0,0,5,1,4,571
95138-1914,6999 Rodling Dr,4,13,4,8,2,3,0,0,0,4,1,2,571
95008-4803,155 Hollis Ave,10,11,16,20,6,13,0,2,0,14,4,7,1295
95008-4803,200 Hollis Ave,8,12,16,20,6,13,0,2,0,15,2,7,1610
95008-4804,240 Hollis Ave,7,13,16,20,6,13,0,2,0,15,1,7,1610
95008-4805,705 Nido Dr,10,11,16,19,6,13,0,2,0,15,4,8,1050
95008-4806,710 Nido Dr,10,11,16,19,6,13,0,2,0,15,4,8,1595
94401-1230,401 Rogell Ct,12,14,15,19,10,19,0,1,0,13,3,11,1600
94401-1236,420 N Bayshore Blvd,12,14,16,19,10,19,0,1,0,14,3,14,1600
94401-1403,1000 E Poplar Ave,12,14,16,19,11,18,0,1,0,13,3,14,1600
94402-3922,2015 Parrott Dr,5,12,4,17,3,4,0,1,0,4,0,5,1895
94402-3922,2007 Parrott Dr,5,13,4,17,3,4,0,1,0,4,0,5,1895
94402-3922,2011 Parrott Dr,5,13,3,16,3,4,0,1,0,4,0,5,1650
94402,2098 Parrott Dr,5,14,4,16,4,4,0,1,0,4,0,5,1650
94403-3964,1700 De Anza Blvd,7,15,5,17,5,4,0,1,0,4,0,5,1650
94403-3422,3421 Edison St,11,12,11,16,9,14,0,3,0,12,4,10,1879
94403-2732,2831 Flores St,10,14,9,15,9,17,0,3,0,18,3,9,1750
94403-2726,2828 Edison St,10,14,11,16,8,17,0,3,0,18,4,9,2850
94403-2462,35 28th Ave,10,14,11,14,10,17,0,3,0,17,4,9,2850
94404-2502,721 Shell Blvd,8,13,10,17,7,11,0,1,0,12,2,3,1393
94404-2502,777 Shell Blvd,8,13,10,17,7,11,0,1,0,12,2,3,2108
94404-4235,62 E Court Ln,6,14,9,15,4,9,0,1,0,9,2,3,2108
94602-2909,3555 Lincoln Ave,13,16,8,19,8,11,0,0,0,9,2,20,1395
94602-2408,2000 Damuth St,12,15,8,19,8,11,0,0,0,10,2,1,1395
94602-2419,3701 Fruitvale Ave,12,15,8,19,8,11,0,0,0,10,2,1,1000
94602-2420,3720 Fruitvale Ave,12,15,8,19,8,11,0,0,0,10,2,1,1000
94601-4536,1628 High St,18,5,2,18,15,3,0,1,0,2,2,1,1188
94601-4536,1630 High St,18,5,2,18,15,3,0,1,0,2,2,1,1188
94601-4517,1441 45th Ave,18,5,2,18,14,4,0,0,0,2,2,1,1000
94601-4106,4016 E 16th St,17,6,5,18,17,3,0,0,0,2,2,2,1000
94601-4621,4237 Foothill Blvd,17,5,2,18,14,4,0,1,0,3,2,1,950
94603-2960,457 Hale Ave,4,8,2,8,3,1,0,0,0,1,0,2,800
94603-2916,437 Hale Ave,4,8,2,8,2,1,0,0,0,1,0,3,800
94603-2109,555 98th Ave,2,7,4,11,3,1,0,0,0,1,0,3,664
94603-2220,716 Nevada St,7,8,1,9,5,1,0,0,0,1,0,2,664
94605-5110,10410 Foothill Blvd,10,16,3,17,2,4,0,1,0,4,2,5,895
94605-4750,9410 Macarthur Blvd,10,14,8,4,2,2,0,0,0,1,0,0,901
94605-4855,9825 Macarthur Blvd,10,15,8,8,3,2,0,0,0,2,1,1,900
94606-3812,1125 E 18th St,14,9,8,20,20,11,0,2,0,9,1,4,975
94606-3811,1730 11th Ave,14,8,8,19,20,11,0,2,0,9,1,4,975
94606-2603,1925 10th Ave,13,10,7,20,20,11,0,2,0,9,1,4,975
94606-3028,926 E 17th St,14,9,9,19,20,12,0,2,0,10,1,4,975
94607-1460,1201 Pine St,14,15,8,16,4,1,0,0,0,3,2,6,1500
94607-1312,934 Wood St,14,15,8,15,4,1,0,0,0,4,2,6,1500
94607-1424,1105 Wood St,14,15,10,16,4,1,0,0,0,5,2,8,1500
94607-1412,1741 12th St,13,16,10,17,4,1,0,0,0,5,2,9,1500
94610-1740,3600 Lakeshore Ave,10,15,20,19,9,15,0,0,0,15,4,6,1700
94610-1740,3614 Lakeshore Ave,10,15,20,19,9,17,0,0,0,17,4,6,2550
94610-2225,840 Erie St,10,15,20,19,10,17,0,0,0,17,4,7,2175
94610-2226,841 Erie St,10,15,20,19,9,16,0,0,0,16,4,7,1750
94610-3727,687 Macarthur Blvd,9,14,20,19,9,17,0,1,0,16,5,8,1595
94611-2813,1900 Mountain Blvd,2,12,15,20,4,11,0,0,0,7,2,3,1995
94611-2911,6212 Antioch St,1,12,15,19,4,12,0,0,0,9,2,3,1350
94611-1462,2040 Arrowhead Dr,1,1,1,3,0,0,0,0,0,3,0,0,1875
94612-2326,438 W Grand Ave,8,10,17,19,20,16,0,5,0,16,12,20,2150
94612-2415,2300 Broadway,6,12,17,19,20,16,0,5,0,16,13,20,2500
94612-2404,2407 Telegraph Ave,9,13,17,20,20,16,0,4,0,16,12,20,1895
94612-3723,100 Grand Ave,8,14,17,19,20,16,0,5,0,16,13,20,2246
94612-2406,461 24th St,7,14,17,19,20,17,0,4,0,16,12,20,2246
94618-1746,5410 Broadway,12,10,19,18,16,17,0,3,0,16,12,8,1395
94618-1428,5390 Broadway,12,10,19,18,17,17,0,3,0,15,12,9,1395
94619-3704,4614 Rockingham Ct,0,1,2,6,0,7,0,0,0,7,0,1,2700
94605-3703,8039 Greenridge Dr,0,2,2,4,2,3,0,0,0,2,0,3,2700
94605-3703,8025 Greenridge Dr,0,2,2,4,2,3,0,0,0,2,0,3,2700
94605-3703,8061 Greenridge Dr,0,2,2,4,2,2,0,0,0,2,0,3,2700
94603-2109,555 98th Ave,2,7,4,11,3,1,0,0,0,1,0,3,664
94066-3813,6101 Shelter Creek Ln,8,17,4,18,1,12,0,0,0,11,1,1,1500
94066-3816,4250 Shelter Creek Ln,8,17,4,17,1,11,0,0,0,11,1,1,1500
94066-6075,2255 Shelter Creek Ln,8,17,4,17,1,11,0,0,0,11,1,1,1700
94066-6040,5332 Shelter Creek Ln,8,17,4,17,1,11,0,0,0,11,1,1,1700
94066-6078,2350 Shelter Creek Ln,8,17,4,17,1,11,0,0,0,11,1,1,1700
95018-9418,6401 Ashley St,6,9,3,15,2,1,0,0,0,2,0,3,1500
95018-9756,6390 Highway 9,7,10,3,15,2,1,0,0,0,2,0,4,1500
95060-6823,824 Western Dr,1,4,4,9,1,3,0,0,0,9,0,1,1200
95050-4104,1700 Civic Center Dr,8,10,4,18,14,7,0,4,0,8,4,2,1625
95050-4755,1550 Lewis St,7,13,2,19,18,10,0,2,0,10,4,2,1625
95050-4748,1355 Jefferson St,8,15,3,19,17,10,0,1,0,10,4,2,1200
95060-6823,824 Western Dr,1,4,4,9,1,3,0,0,0,9,0,1,1200
95060-3243,105 Torry Pine Ter,7,11,6,18,2,6,0,1,0,12,1,1,1200
95060-3265,102 Torry Pine Ter,7,11,6,18,2,6,0,1,0,12,1,1,1200
95066-4974,800 Flora Ln,7,14,4,16,3,2,0,0,0,2,0,1,650
95066-4152,101 Civic Center Dr,7,14,10,17,2,2,0,0,0,3,0,1,650
95066-4578,100 Acorn Ct,9,12,8,17,2,3,0,0,0,4,0,1,650
95066-4711,144 La Cuesta Dr,7,14,4,16,4,2,0,0,0,2,0,1,950
94536-2565,37200 Paseo Padre Pky,10,15,3,18,8,11,0,6,0,12,0,1,1628
94536-3772,37315 Sequoia Rd,11,15,3,18,7,14,0,6,0,16,0,1,1628
94536-3774,37359 Sequoia Rd,12,14,3,18,7,14,0,6,0,16,0,1,1628
94536-3764,3346 Red Cedar Ter,11,15,3,18,7,12,0,6,0,14,0,1,1628
94536,2999 Sequoia Ter,12,14,3,18,7,9,0,5,0,9,0,1,1796
94538-4170,42010 Blacow Rd,11,11,8,17,10,11,0,1,0,9,2,1,1395
94566-1219,4890 Bernal Ave,12,11,5,15,5,9,0,6,0,12,3,2,1459
94566-7062,187 Old Bernal Ave,10,10,7,16,6,10,0,6,0,13,3,3,1100
94566-7152,4388 2nd St,11,10,11,17,7,13,0,6,0,14,3,3,1495
94566-7486,435 Bernal Ct,11,10,5,15,5,9,0,6,0,12,3,3,1050
94588-3243,6250 Stoneridge Mall Rd,5,18,10,14,5,6,0,1,0,6,1,2,1539
94588-4878,7318 Joshua Cir,1,2,3,2,1,5,0,0,0,3,1,3,1539
94568-3115,6599 Dublin Blvd,5,15,13,16,8,4,0,2,0,5,2,1,1905
94550-3807,5643 Charlotte Way,3,2,7,11,1,2,0,0,0,2,1,2,1405
94550-3721,5241 Norma Way,3,2,7,11,1,2,0,0,0,2,1,2,1405
94550-2375,828 Debra St,6,4,0,12,1,2,0,0,0,2,1,2,1405
94550-7214,4601 Gerrilyn Way,4,7,12,9,2,2,0,0,0,2,0,4,1405
94550,4772 Nicol Com,5,14,2,13,1,4,0,0,0,3,0,8,1500
94080-4727,324 Commercial Ave,9,12,5,18,9,4,0,3,0,3,3,3,1650
94080-2918,318 6th Ln,11,11,5,16,8,3,0,3,0,3,3,3,1650
94080-2913,323 California Ave,10,11,5,17,9,3,0,3,0,3,3,3,1500
94080-2933,619 Linden Ave,11,11,5,16,8,2,0,3,0,2,3,3,1500
94582-5815,1198 Goldenbay Ave,0,2,0,2,2,1,0,0,0,3,0,3,1445
94582-5983,2000 Bellas Artes Cir,0,2,0,3,1,2,0,0,0,4,0,1,1400
94582-3213,514 Joree Ln,0,2,0,5,1,2,0,0,0,4,0,1,1400
