id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
1,0,"1428 Reeve St",1,1,"Santa Clara",11242,0,0,37.354152,-121.953297,11242,CA,881471,2012,0,Condominium,1958,1295159,1476481,1100885,-21217,95050,82959738
2,0,"1378 Reeve St",1,1,"Santa Clara",8700,0,0,37.354382,-121.952654,8700,CA,729311,2012,0,Condominium,1958,326835,552351,228785,-434,95050,82949770
3,0,"1358 Reeve St",1,1,"Santa Clara",8700,11/16/2012,2850000,37.354518,-121.952273,8700,CA,1142394,2012,0,MultiFamily2To4,1958,1366890,1612930,1189194,8971,95050,82962903
4,0,"1678 Monroe St",0,0,"Santa Clara",12780,10/28/2010,1280000,37.354701,-121.951997,12780,CA,1305600,2012,0,MultiFamily2To4,1972,1675676,1960541,1441081,4032,95050,82948700
5,0,"1704 Monroe St",1,1,"Santa Clara",0,0,0,37.355003,-121.952186,0,CA,0,0,0,MultiFamily2To4,1978,537556,634316,397791,0,95050,2109163108
6,0,"775 Bellomy St",1,1,"Santa Clara",8600,04/18/2011,2550000,37.346451,-121.938987,8600,CA,2601000,2012,0,Apartment,1958,0,0,0,0,95050,82955610
7,0,"1388 Dahlia Loop",3.5,3,"San Jose",2243,05/04/2007,832500,37.348926,-121.929532,2243,CA,612000,2012,7,SingleFamily,2006,778037,824719,739135,-553,95126,79841511
8,0,"1370 Dahlia Loop",2.5,3,"San Jose",1742,11/01/2011,545000,37.349015,-121.929292,1742,CA,545000,2012,6,SingleFamily,2006,696719,731555,654916,9819,95126,79843484
9,0,"4450 Bassett St",0,0,"Santa Clara",12500,0,0,37.396795,-121.960998,12500,CA,961468,2012,0,MultiFamily2To4,1954,2150236,2494274,1849203,7627,95054,82958113
10,0,"4440 Bassett St",0,0,"Santa Clara",12500,0,0,37.396652,-121.960911,12500,CA,977994,2012,0,MultiFamily2To4,1954,1744529,2110880,1360733,-8727,95054,82959949
11,0,"1866 Garzoni Pl",2.5,3,"Santa Clara",2614,02/23/2006,655000,37.397892,-121.958057,2614,CA,620000,2012,7,Townhouse,2005,847045,889397,787752,7284,95054,69300941
12,0,"1650 Hope Dr",1,1,"Santa Clara",0,0,0,37.39902,-121.95759,0,CA,0,0,0,Apartment,0,0,0,0,0,95054,2125635457
13,0,"3133 Cabrillo Ave",2,3,"Santa Clara",5252,02/03/2011,482000,37.359141,-121.982538,5252,CA,491525,2012,5,SingleFamily,1955,666066,719351,612781,3818,95051,19555135
14,0,"1726 Ravizza Ave",1,2,"Santa Clara",7500,0,0,37.353655,-121.972961,7500,CA,151901,2012,0,Townhouse,1954,557990,624949,507771,-4863,95051,19551774
15,0,"2448 Rockridge Way",1.5,3,"Santa Clara",1728,08/05/2004,467500,37.365816,-121.970623,1728,CA,412000,2011,5,Condominium,1972,604554,634782,568281,2970,95051,19553423
16,0,"991 Boranda Ave",0,0,"Mountain View",23217,0,0,37.383019,-122.081783,23217,CA,751380,2012,0,MultiFamily2To4,1960,2645785,3042653,2275375,131633,94040,82957559
17,0,"1005 Boranda Ave",0,0,"Mountain View",23072,0,0,37.382742,-122.08184,23072,CA,1308022,2012,0,MultiFamily2To4,1978,2368844,2605728,2155648,-9662,94040,82960286
