v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
1,0,2,0,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1742,2,611592,-0.5,0,720550,893482,554823,-16396,15160881,0
2,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3000,2,358727,-0.5,0,741615,815776,660037,8349,15104463,0
3,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3920,2,792212,-0.5,0,1347280,1589790,1091297,-81345,15198731,0
4,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,752722,0.5,0,1034969,1190214,848675,-7651,79843479,0
5,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2063,2,70685,-0.5,0,763167,847115,679219,5074,15118985,0
6,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2949,2,1678164,-0.5,0,2044161,2330344,1737537,60197,15131515,0
7,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,804217,0.5,0,880690,995180,775007,10690,15150227,0
8,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1899,2,607968,-0.5,0,635731,699304,578515,20076,15194673,0
9,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,542000,-0.5,0,713033,798597,620339,39681,15191948,0
10,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1575,2,45686,-0.5,0,437555,498813,371922,3501,15154039,0
11,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,550000,-0.5,0,627188,714994,533110,8826,69817323,0
12,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1751,2,308328,-0.5,0,892176,1034924,740506,-26337,15160830,0
13,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,343725,-0.5,0,599337,677251,533410,-6649,15174605,0
