v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
1,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,11242,-2,881471,0.5,0.5,1295159,1476481,1100885,-21217,82959738
2,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,8700,-2,729311,0.5,0.5,326835,552351,228785,-434,82949770
3,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,8700,2,1142394,2,0.5,1366890,1612930,1189194,8971,82962903
4,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,12780,2,1305600,2,0.5,1675676,1960541,1441081,4032,82948700
5,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,-2,2,0,-2,0,2,0.5,537556,634316,397791,0,2109163108
6,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,2243,2,612000,-0.5,1,778037,824719,739135,-553,79841511
7,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,545000,-0.5,1,696719,731555,654916,9819,79843484
8,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,12500,-2,961468,2,0.5,2150236,2494274,1849203,7627,82958113
9,0,2,-0.5,-1.5,santaclara,-2,1.5,0,1,1,2,12500,-2,977994,2,0.5,1744529,2110880,1360733,-8727,82959949
10,0,2,1,-0.5,santaclara,-2,1.5,0,1,-0.5,2,2614,2,620000,1,0.5,847045,889397,787752,7284,69300941
11,0,2,0.5,-0.5,santaclara,-2,1.5,0,1,0.5,2,5252,2,491525,-0.5,0.5,666066,719351,612781,3818,19555135
12,0,2,-0.5,-0.5,santaclara,-2,1.5,0,1,0.5,2,7500,-2,151901,1,0.5,557990,624949,507771,-4863,19551774
13,0,2,0,-0.5,santaclara,-2,1.5,0,1,-1.5,2,1728,2,412000,0.5,0.5,604554,634782,568281,2970,19553423
14,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,23217,-2,751380,2,0.5,2645785,3042653,2275375,131633,82957559
15,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,23072,-2,1308022,2,0.5,2368844,2605728,2155648,-9662,82960286
16,0,2,-0.5,-0.5,mountainview,-1.5,2,0.5,1,0.5,2,7500,2,620000,-0.5,0.5,924921,1082158,823180,-7232,19515025
17,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1,2,14000,2,2065352,2,0.5,2237869,2595928,1969325,-7602,82948610
18,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,2,2,95396,2,557761,2,0.5,5487289,8560171,4005721,-229080,82957626
19,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,18403,-2,200139,2,0.5,2651062,3048721,2332935,-6528,82962785
20,0,2,-0.5,-1.5,mountainview,-1.5,2,0.5,1,1.5,2,19312,-2,338685,2,0.5,2832033,3256838,2435548,29770,82961079
21,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,0.5,1,298074,357689,226536,1172,2115753402
22,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,445000,1,1,650225,708745,578700,14306,82959217
23,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1,2,9660,2,1327353,2,1,1577732,1924833,1372627,-10168,82956861
24,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,0,2,4658,2,230025,1.5,1,504375,549769,458981,-2637,19710465
25,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,0.5,2,7800,2,469200,1.5,1,787776,874431,685365,2709,19710995
26,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1306,2,249000,0.5,1,399421,439363,359479,-2083,19714008
27,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,2,2,43560,-2,0,2,1,638988,754006,523970,-3796,2142963480
28,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,72000,2,1,339630,366800,298874,9334,19721273
29,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,142000,2,1,222107,244318,186570,-6015,19721253
30,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1875,2,142000,0.5,1,267315,286027,248603,4767,19721291
31,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,72000,1,1,331403,357915,298263,16614,19721297
32,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6000,2,351000,-0.5,1,564461,598329,536238,2072,19839389
33,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,178245,2,1,384392,426675,345953,7578,19802838
34,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,67954,-2,12403418,2,1,740174,836397,606943,-4499,82948386
35,0,2,0,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,169000,0.5,1,319109,335064,303154,-5808,19717409
36,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,185000,0.5,1,315561,337650,290316,2806,19717245
37,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5824,2,701804,-0.5,1,840572,916223,773326,5518,19685793
38,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7249,2,1393000,-0.5,1,1341312,1475443,1166941,110116,19687164
39,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,2,2,26690,-2,2144408,0.5,1,336280,447252,218582,-7229,82960206
40,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,528000,1,1,552217,601917,502517,4695,59683028
