id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
1012,0,334 Holladay Ave,1.5,3,San Francisco,1742,2/28/2014,760000,37.744441,-122.406028,1742,CA,611592,2013,6,SingleFamily,1917,720550,893482,554823,-16396,94110,15160881
1013,0,1455 41st Ave,1,2,San Francisco,3000,2/28/2014,823500,37.759613,-122.500822,3000,CA,358727,2013,5,SingleFamily,1938,741615,815776,660037,8349,94122,15104463
1014,0,85 Turquoise Way,2.5,4,San Francisco,3920,2/28/2014,1425000,37.74383,-122.444966,3920,CA,792212,2013,8,SingleFamily,1963,1347280,1589790,1091297,-81345,94131,15198731
1015,0,435 Dolores St,8.5,3,San Francisco,0,2/28/2014,1335000,37.762511,-122.425776,0,CA,752722,2013,6,Condominium,0,1034969,1190214,848675,-7651,94110,79843479
1016,0,2206 38th Ave,1,3,San Francisco,2063,2/28/2014,800000,37.745685,-122.496032,2063,CA,70685,2013,6,SingleFamily,1948,763167,847115,679219,5074,94116,15118985
1017,0,913 Alvarado St,3,4,San Francisco,2949,2/28/2014,2490100,37.753026,-122.441399,2949,CA,1678164,2013,9,SingleFamily,1901,2044161,2330344,1737537,60197,94114,15131515
1018,0,2209 Bryant St,1,3,San Francisco,2495,2/28/2014,1100000,37.758951,-122.409401,2495,CA,804217,2013,5,Condominium,1907,880690,995180,775007,10690,94110,15150227
1019,0,180 Laura St,2,3,San Francisco,1899,2/28/2014,725000,37.711607,-122.452218,1899,CA,607968,2013,6,SingleFamily,1929,635731,699304,578515,20076,94112,15194673
1020,0,2586 San Jose Ave,4,5,San Francisco,2495,2/28/2014,895000,37.716701,-122.450307,2495,CA,542000,2013,13,SingleFamily,1909,713033,798597,620339,39681,94112,15191948
1021,0,1495 Shafter Ave,1,0,San Francisco,1575,2/28/2014,465000,37.729749,-122.388872,1575,CA,45686,2013,5,SingleFamily,1954,437555,498813,371922,3501,94124,15154039
1022,0,3223 Jennings St,2,3,San Francisco,2500,2/28/2014,601000,37.719684,-122.39494,2500,CA,550000,2010,7,SingleFamily,2000,627188,714994,533110,8826,94124,69817323
1023,0,132 Brewster St,2.5,4,San Francisco,1751,2/28/2014,1250000,37.744557,-122.407219,1751,CA,308328,2013,7,SingleFamily,1986,892176,1034924,740506,-26337,94110,15160830
1024,0,555 Paris St,1,2,San Francisco,2495,2/28/2014,680000,37.719838,-122.435983,2495,CA,343725,2013,5,SingleFamily,1926,599337,677251,533410,-6649,94112,15174605
1025,0,743 45th Ave,3,4,San Francisco,3000,2/28/2014,932000,37.774476,-122.506154,3000,CA,924794,2013,9,SingleFamily,1924,932838,1035450,802241,-42140,94121,15096690
1026,0,174 Byxbee St,1,0,San Francisco,2500,2/28/2014,669500,37.717445,-122.469556,2500,CA,46143,2013,5,SingleFamily,1947,624445,699378,530778,4713,94132,15193328
1027,0,22 Brighton Ave,1,2,San Francisco,2613,2/28/2014,914000,37.718682,-122.454797,2613,CA,245509,2013,6,SingleFamily,1924,434975,530670,352330,-5547,94112,15190831
1028,0,3499 Sacramento St,0,0,San Francisco,0,2/28/2014,750000,37.787659,-122.450056,0,CA,662188,2013,0,Condominium,1900,752696,827966,654846,-7220,94118,15082453
1029,0,4107 Folsom St # B,1,2,San Francisco,0,0,0,37.735782,-122.413402,0,CA,210074,2013,4,Condominium,1908,605361,684058,532718,1803,94110,69819361
1030,0,45 Dellbrook Ave,2,3,San Francisco,3380,2/27/2014,1001000,37.750003,-122.453769,3380,CA,531628,2013,6,SingleFamily,1956,885088,982448,778877,11031,94131,15132454
1031,0,161 Girard St,2,3,San Francisco,3001,2/27/2014,820000,37.730291,-122.405475,3001,CA,70498,2013,6,SingleFamily,1951,745555,849933,678455,-53879,94134,15167040
1032,0,688 Teresita Blvd,1,2,San Francisco,2652,2/27/2014,837000,37.735858,-122.446653,2652,CA,732435,2013,6,SingleFamily,1940,906632,1015428,806902,7027,94127,15136219
